year,ticker,annual_return,group,spy_return,alpha_vs_spy,beat_spy,qqq_return,alpha_vs_qqq,beat_qqq
2017,QQQ,0.32663565660782057,ACTIVE_10,0.21705422116658024,0.10958143544124033,True,0.32663552072159807,1.3588622249649518e-07,True
2018,QQQ,-0.0012622148699651392,ACTIVE_10,-0.04569003641488878,0.04442782154492364,True,-0.0012624216767765928,2.0680681145357482e-07,True
2019,QQQ,0.38961568529295554,ACTIVE_10,0.31223852302976574,0.0773771622631898,True,0.38961582925643423,-1.439634786937205e-07,False
2020,QQQ,0.484061173103266,ACTIVE_10,0.18331659129890632,0.3007445818043597,True,0.484061173103266,0.0,False
2021,QQQ,0.27419712807440244,ACTIVE_10,0.28728738064843706,-0.013090252574034622,False,0.27419763042979617,-5.023553937277825e-07,False
2022,QQQ,-0.32576996723288687,ACTIVE_10,-0.1817536936501497,-0.14401627358273716,False,-0.3257703119001204,3.446672335316592e-07,True
2023,QQQ,0.5485559786119072,ACTIVE_10,0.2617580723704003,0.2867979062415069,True,0.5485561597139335,-1.811020262643126e-07,False
2024,QQQ,0.25578255243556947,ACTIVE_10,0.2488646804381094,0.006917871997460079,True,0.25578255243556947,0.0,False
2025,QQQ,0.2077254825855681,ACTIVE_10,0.17719055511914772,0.030534927466420392,True,0.2077254825855681,0.0,False
2026,QQQ,0.17112659960592147,ACTIVE_10,0.11277168154779438,0.05835491805812709,True,0.17112659960592147,0.0,False
2017,NVDA,0.8198789586660353,ACTIVE_10,0.21705422116658024,0.6028247374994551,True,0.32663552072159807,0.49324343794443726,True
2018,NVDA,-0.3081522601505935,ACTIVE_10,-0.04569003641488878,-0.2624622237357047,False,-0.0012624216767765928,-0.3068898384738169,False
2019,NVDA,0.7694297911600143,ACTIVE_10,0.31223852302976574,0.4571912681302486,True,0.38961582925643423,0.3798139619035801,True
2020,NVDA,1.2229566421927642,ACTIVE_10,0.18331659129890632,1.039640050893858,True,0.484061173103266,0.7388954690894982,True
2021,NVDA,1.2548212061780206,ACTIVE_10,0.28728738064843706,0.9675338255295836,True,0.27419763042979617,0.9806235757482245,True
2022,NVDA,-0.5026463649011786,ACTIVE_10,-0.1817536936501497,-0.32089267125102894,False,-0.3257703119001204,-0.17687605300105824,False
2023,NVDA,2.3901712226318024,ACTIVE_10,0.2617580723704003,2.128413150261402,True,0.5485561597139335,1.841615062917869,True
2024,NVDA,1.7124932285710317,ACTIVE_10,0.2488646804381094,1.4636285481329223,True,0.25578255243556947,1.4567106761354622,True
2025,NVDA,0.3891653167692817,ACTIVE_10,0.17719055511914772,0.21197476165013396,True,0.2077254825855681,0.18143983418371357,True
2026,NVDA,0.14079987221049217,ACTIVE_10,0.11277168154779438,0.028028190662697794,True,0.17112659960592147,-0.030326727395429298,False
2017,TSM,0.4240663374107163,ACTIVE_10,0.21705422116658024,0.20701211624413607,True,0.32663552072159807,0.09743081668911824,True
2018,TSM,-0.03505808822753853,ACTIVE_10,-0.04569003641488878,0.010631948187350249,True,-0.0012624216767765928,-0.03379566655076194,False
2019,TSM,0.6484188297675753,ACTIVE_10,0.31223852302976574,0.3361803067378095,True,0.38961582925643423,0.258803000511141,True
2020,TSM,0.926683407048039,ACTIVE_10,0.18331659129890632,0.7433668157491327,True,0.484061173103266,0.44262223394477296,True
2021,TSM,0.12094657284671606,ACTIVE_10,0.28728738064843706,-0.166340807801721,False,0.27419763042979617,-0.1532510575830801,False
2022,TSM,-0.3674845305944855,ACTIVE_10,-0.1817536936501497,-0.1857308369443358,False,-0.3257703119001204,-0.04171421869436509,False
2023,TSM,0.4232972843818381,ACTIVE_10,0.2617580723704003,0.16153921201143784,True,0.5485561597139335,-0.12525887533209534,False
2024,TSM,0.9258244233911457,ACTIVE_10,0.2488646804381094,0.6769597429530363,True,0.25578255243556947,0.6700418709555762,True
2025,TSM,0.5594951087737625,ACTIVE_10,0.17719055511914772,0.3823045536546148,True,0.2077254825855681,0.3517696261881944,True
2026,TSM,0.3874991318995813,ACTIVE_10,0.11277168154779438,0.2747274503517869,True,0.17112659960592147,0.21637253229365982,True
2017,AVGO,0.4818612102926405,ACTIVE_10,0.21705422116658024,0.26480698912606027,True,0.32663552072159807,0.15522568957104244,True
2018,AVGO,0.03621970995682333,ACTIVE_10,-0.04569003641488878,0.08190974637171211,True,-0.0012624216767765928,0.037482131633599924,True
2019,AVGO,0.2905160780864229,ACTIVE_10,0.31223852302976574,-0.021722444943342856,False,0.38961582925643423,-0.09909975117001135,False
2020,AVGO,0.44880054128422353,ACTIVE_10,0.18331659129890632,0.2654839499853172,True,0.484061173103266,-0.03526063181904249,False
2021,AVGO,0.5648489167821922,ACTIVE_10,0.28728738064843706,0.2775615361337551,True,0.27419763042979617,0.290651286352396,True
2022,AVGO,-0.13269662382541025,ACTIVE_10,-0.1817536936501497,0.04905706982473945,True,-0.3257703119001204,0.19307368807471015,True
2023,AVGO,1.0418426313695903,ACTIVE_10,0.2617580723704003,0.78008455899919,True,0.5485561597139335,0.49328647165565687,True
2024,AVGO,1.1049289885300038,ACTIVE_10,0.2488646804381094,0.8560643080918944,True,0.25578255243556947,0.8491464360944343,True
2025,AVGO,0.506329897757932,ACTIVE_10,0.17719055511914772,0.3291393426387843,True,0.2077254825855681,0.2986044151723639,True
2026,AVGO,0.1434047454984706,ACTIVE_10,0.11277168154779438,0.03063306395067622,True,0.17112659960592147,-0.027721854107450872,False
2017,GOOGL,0.32929516445424545,ACTIVE_10,0.21705422116658024,0.1122409432876652,True,0.32663552072159807,0.0026596437326473765,True
2018,GOOGL,-0.00801204521280463,ACTIVE_10,-0.04569003641488878,0.03767799120208415,True,-0.0012624216767765928,-0.006749623536028038,False
2019,GOOGL,0.2817618409032685,ACTIVE_10,0.31223852302976574,-0.030476682126497234,False,0.38961582925643423,-0.10785398835316573,False
2020,GOOGL,0.3085360618572697,ACTIVE_10,0.18331659129890632,0.12521947055836335,True,0.484061173103266,-0.17552511124599635,False
2021,GOOGL,0.652957664929579,ACTIVE_10,0.28728738064843706,0.3656702842811419,True,0.27419763042979617,0.3787600344997828,True
2022,GOOGL,-0.39089543075394517,ACTIVE_10,-0.1817536936501497,-0.20914173710379547,False,-0.3257703119001204,-0.06512511885382477,False
2023,GOOGL,0.5832484794344159,ACTIVE_10,0.2617580723704003,0.32149040706401566,True,0.5485561597139335,0.03469231972048248,True
2024,GOOGL,0.3600557268458857,ACTIVE_10,0.2488646804381094,0.11119104640777633,True,0.25578255243556947,0.10427317441031625,True
2025,GOOGL,0.6599358813862364,ACTIVE_10,0.17719055511914772,0.48274532626708866,True,0.2077254825855681,0.45221039880066827,True
2026,GOOGL,0.18659049925652038,ACTIVE_10,0.11277168154779438,0.073818817708726,True,0.17112659960592147,0.015463899650598911,True
2017,AMD,-0.09347446255323,ACTIVE_10,0.21705422116658024,-0.31052868371981024,False,0.32663552072159807,-0.42010998327482807,False
2018,AMD,0.795719801943733,ACTIVE_10,-0.04569003641488878,0.8414098383586218,True,-0.0012624216767765928,0.7969822236205096,True
2019,AMD,1.4842905138021374,ACTIVE_10,0.31223852302976574,1.1720519907723717,True,0.38961582925643423,1.0946746845457032,True
2020,AMD,0.9997818984714926,ACTIVE_10,0.18331659129890632,0.8164653071725863,True,0.484061173103266,0.5157207253682266,True
2021,AMD,0.5690763857051218,ACTIVE_10,0.28728738064843706,0.2817890050566847,True,0.27419763042979617,0.2948787552753256,True
2022,AMD,-0.5498957651821776,ACTIVE_10,-0.1817536936501497,-0.36814207153202794,False,-0.3257703119001204,-0.22412545328205724,False
2023,AMD,1.2758995106091229,ACTIVE_10,0.2617580723704003,1.0141414382387226,True,0.5485561597139335,0.7273433508951894,True
2024,AMD,-0.18058477773055304,ACTIVE_10,0.2488646804381094,-0.4294494581686624,False,0.25578255243556947,-0.4363673301661225,False
2025,AMD,0.7729944700627904,ACTIVE_10,0.17719055511914772,0.5958039149436427,True,0.2077254825855681,0.5652689874772223,True
