validated_rank,ticker,history_start,history_end,history_years,full_10y,total_return,cagr,annualized_volatility,max_drawdown,current_drawdown,sharpe,sortino,group,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,enterprise_to_ebitda,gross_margin,operating_margin,profit_margin,roe,revenue_growth,earnings_growth,free_cash_flow,operating_cash_flow,total_cash,total_debt,debt_to_equity,dividend_yield,scheme,events,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,avg_max_adverse_252d,discount_verdict,years,beat_spy_rate,beat_qqq_rate,avg_alpha_spy,avg_alpha_qqq,rank_score,status,error,data_quality,history_tier,discount_sample_ok,eligible_core_rank,eligible_secondary_rank,validated_score
1,MU,2016-07-18,2026-07-15,9.990417522245036,True,68.51545194565719,0.5289202099912147,0.5075864911850637,-0.5762897831378635,-0.2547388796025737,1.0529970347618691,1.5863471062918268,WATCHLIST_2,1021287661568.0,22.223644,6.0098834,14.077246,0.14,14.682,0.72569,0.80370003,0.55906,0.66638,3.457,13.685,7639499776.0,51432001536.0,26022000640.0,6376000000.0,6.33,0.05,STOCK_B_20_30_40_55,33.0,0.1844315376692775,0.4545454545454545,0.2205662350083682,0.3333333333333333,-0.2819964429716212,WATCH,10.0,0.6,0.5,0.5232409359715247,0.4474779135296717,62.74920821311828,OK,,OK,FULL_10Y,True,True,False,62.74920821311828
2,NVDA,2016-07-18,2026-07-15,9.990417522245036,True,162.64203525110523,0.6657193726229771,0.4991277672690358,-0.6633508667198122,-0.0975326268291191,1.2334193475020467,1.8311784188845663,ACTIVE_10,5146962558976.0,32.44275,16.595171,26.332096,0.65,30.826,0.74144995,0.65596,0.62966,1.14288,0.852,2.145,46335873024.0,125648003072.0,53171998720.0,12814000128.0,6.555,0.47,STOCK_A_15_25_35_50,38.0,0.436623545836886,0.7105263157894737,0.7496536755972031,0.7894736842105263,-0.1706609416563982,STRONG_RESEARCH_CANDIDATE,10.0,0.8,0.7,0.6315880460577113,0.5558250236158584,57.228151386455046,OK,,OK,FULL_10Y,True,True,False,57.228151386455046
3,AVGO,2016-07-18,2026-07-15,9.990417522245036,True,30.68457583064877,0.4132817345470958,0.3965115597227024,-0.4829996313012872,-0.1799655236563584,1.0227126007157383,1.4239703685612983,ACTIVE_10,1875818708992.0,64.95552,20.30602,21.39338,0.45,45.649,0.76284,0.48988,0.38848,0.37280998,0.479,0.854,27212249088.0,33621999616.0,19627999232.0,64907001856.0,74.018,0.67,STOCK_C_25_35_45_60,14.0,0.598592972972812,0.8571428571428571,0.9758874739038736,0.8571428571428571,-0.0571678810586885,STRONG_RESEARCH_CANDIDATE,10.0,0.9,0.7,0.2913017918860448,0.2155387694441919,51.8215494056498,OK,,OK,FULL_10Y,True,True,False,51.8215494056498
4,AMD,2016-07-18,2026-07-15,9.990417522245036,True,95.03266654597178,0.5791814936445814,0.5700394854543102,-0.6544994295506881,-0.0891187290448072,1.0521669565254137,1.6209064147660743,ACTIVE_10,862816043008.0,181.83505,39.69367,13.380029,1.34,114.985,0.5306,0.14396,0.13374,0.08063,0.378,0.912,7173374976.0,9724999680.0,12346999808.0,3871000064.0,6.005,,STOCK_C_25_35_45_60,29.0,0.3292401532159249,0.6551724137931034,0.3278322659918856,0.4827586206896552,-0.2465114352485751,STRONG_RESEARCH_CANDIDATE,10.0,0.7,0.7,0.4971539555158376,0.4213909330739847,43.40436727046993,OK,,OK,FULL_10Y,True,True,False,43.40436727046993
5,PWR,2016-07-18,2026-07-15,9.990417522245036,True,24.76753584309346,0.384339574347204,0.3389075351052346,-0.4553341255158031,-0.1735785861397373,1.0728403905968311,1.5162782757273776,WATCHLIST_1,97365024768.0,90.873955,39.390816,10.764841,2.04,38.892,0.15100001,0.04244,0.036679998,0.13534,0.263,0.51,1037176768.0,2378515968.0,364760992.0,6319672832.0,69.121,0.07,STOCK_C_25_35_45_60,11.0,0.3968432914729789,0.9090909090909092,0.8332753713818747,0.9090909090909092,-0.1257987876698786,STRONG_RESEARCH_CANDIDATE,10.0,0.8,0.6,0.2155362434039102,0.1397732209620574,42.02619166841886,OK,,OK,FULL_10Y,True,True,False,42.02619166841886
6,STX,2016-07-18,2026-07-15,9.990417522245036,True,40.649602520299815,0.4525009791390908,0.4218115404887792,-0.569918392464988,-0.2423580754333133,1.0513790269201444,1.4518599070502318,WATCHLIST_2,185728876544.0,83.32998,29.083597,169.7336,0.63,53.717,0.41571,0.35668,0.21599,17.8797,0.441,1.083,1610000000.0,2876999936.0,1146000000.0,4177999872.0,381.553,0.34,STOCK_C_25_35_45_60,23.0,0.5060734022488841,0.782608695652174,1.025982164493887,0.8260869565217391,-0.1909998858296092,STRONG_RESEARCH_CANDIDATE,10.0,0.6,0.5,0.4647888556457264,0.3890258332038735,41.74587637314836,OK,,OK,FULL_10Y,True,True,False,41.74587637314836
7,DELL,2016-08-17,2026-07-15,9.908281998631075,True,36.58287888349426,0.4419723260264623,0.4428851544545475,-0.5958774223022354,-0.1143445784109415,1.002048301428605,1.3981687316471365,WATCHLIST_1,266650042368.0,36.48806,19.197838,-190.79056,0.71,20.462,0.19212,0.088570006,0.062750004,,0.875,2.825,5434124800.0,12469999616.0,11580999680.0,31924000768.0,,0.55,STOCK_B_20_30_40_55,16.0,0.2663053372335001,0.625,0.4683902511377045,0.625,-0.200059000516616,STRONG_RESEARCH_CANDIDATE,10.0,0.7,0.7,0.3618262421476032,0.2860632197057503,41.71470016289514,OK,,OK,FULL_10Y,True,True,False,41.71470016289514
8,TSM,2016-07-18,2026-07-15,9.990417522245036,True,18.089483509818145,0.3433904831821408,0.3458758405606106,-0.5646657359523592,-0.1216366091818947,0.9708154486135224,1.4633597024784393,ACTIVE_10,2175622184960.0,36.50827,20.67296,94.92151,1.36,5.307,0.61873,0.58105,0.46505,0.3621,0.351,0.584,719158444032.0,2348378226688.0,3383596154880.0,1094369804288.0,18.447,0.9,STOCK_C_25_35_45_60,6.0,0.3499776681691804,0.5,0.7675107168276902,0.6666666666666666,-0.1838709628131028,WATCH,10.0,0.8,0.6,0.2440650621018472,0.1683020396599944,37.861695894627246,OK,,OK,FULL_10Y,True,True,False,37.861695894627246
9,AAPL,2016-07-18,2026-07-15,9.990417522245036,True,13.410638997145472,0.3061091169244294,0.2907184500146329,-0.3851592960547003,0.0,0.9977632584408282,1.3738207871314294,WATCHLIST_2,4810109091840.0,38.170162,34.04044,45.11019,2.55,30.169,0.47862,0.32275,0.27152002,1.4147099,0.166,0.218,101090746368.0,140222005248.0,68507000832.0,84710998016.0,79.548,0.34,STOCK_B_20_30_40_55,15.0,0.2598377492155088,0.8,0.4538421312607999,0.9333333333333332,-0.0958704968456072,STRONG_RESEARCH_CANDIDATE,10.0,0.7,0.7,0.174735096148026,0.0989720737061731,37.56263602976716,OK,,OK,FULL_10Y,True,True,False,37.56263602976716
10,GOOGL,2016-07-18,2026-07-15,9.990417522245036,True,8.936512244761982,0.2584009821958781,0.2922901191742769,-0.4432005853594187,-0.078184009209736,0.8663365375337648,1.207117452301902,ACTIVE_10,4526178304000.0,27.394388,25.421082,9.3870535,1.41,27.667,0.60368,0.36121,0.37919,0.38884997,0.218,0.82,27921750016.0,174353006592.0,126839996416.0,95875997696.0,20.026,0.24,STOCK_C_25_35_45_60,6.0,0.2627498177706537,0.8333333333333334,0.4105044662145589,1.0,-0.0893795760286671,STRONG_RESEARCH_CANDIDATE,10.0,0.8,0.6,0.1390436314884569,0.063280609046604,37.0689361963576,OK,,OK,FULL_10Y,True,True,False,37.0689361963576
