ticker,data_symbol,name,category,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,discount_verdict,policy_note
SOXS,SOXS,Direxion Daily Semiconductor Bear 3X ETF,INVERSE_LEVERAGED_ETF,HIGH_VOL_A_35_50_65,52w_high,12,-54.17%,-74.81%,-20.54%,8.33%,-42.35%,0.00%,-53.29%,0.00%,-71.09%,0.00%,EXCLUDE_POLICY_INVERSE_OR_LEVERAGED,EXCLUDE_POLICY_INVERSE_OR_LEVERAGED
SPOT,SPOT,Spotify,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,12,-36.57%,-25.01%,6.17%,66.67%,4.86%,50.00%,16.02%,33.33%,19.29%,41.67%,WATCH,OK
SQQQ,SQQQ,ProShares UltraPro Short QQQ,INVERSE_LEVERAGED_ETF,HIGH_VOL_A_35_50_65,52w_high,10,-49.16%,-59.40%,-6.15%,10.00%,-17.86%,20.00%,-33.17%,0.00%,-55.46%,0.00%,EXCLUDE_POLICY_INVERSE_OR_LEVERAGED,EXCLUDE_POLICY_INVERSE_OR_LEVERAGED
STLD,STLD,Steel Dynamics,STOCK,STOCK_B_20_30_40_55,52w_high,20,-28.51%,-12.36%,8.58%,70.00%,11.81%,75.00%,20.21%,70.00%,27.40%,70.00%,STRONG_RESEARCH_CANDIDATE,OK
STNG,STNG,Scorpio Tankers,CYCLICAL_STOCK,STOCK_B_20_30_40_55,52w_high,28,-33.61%,-33.19%,-0.09%,53.57%,2.46%,57.14%,-4.18%,46.43%,14.25%,42.86%,NO,OK
T,T,AT&T,STOCK,STOCK_C_25_35_45_60,52w_high,6,-26.64%,-5.26%,8.75%,66.67%,10.80%,83.33%,19.97%,83.33%,26.07%,83.33%,STRONG_RESEARCH_CANDIDATE,OK
TCOM,TCOM,Trip.com,CHINA_STOCK,STOCK_C_25_35_45_60,52w_high,24,-35.09%,-24.83%,4.43%,54.17%,8.48%,54.17%,18.95%,66.67%,12.67%,50.00%,STRONG_RESEARCH_CANDIDATE,OK
TMUS,TMUS,T-Mobile US,STOCK,STOCK_B_20_30_40_55,52w_high,13,-31.47%,-18.87%,6.25%,76.92%,3.72%,53.85%,14.79%,61.54%,39.65%,61.54%,STRONG_RESEARCH_CANDIDATE,OK
TSM,TSM,TSMC,AI_STOCK,STOCK_C_25_35_45_60,52w_high,6,-32.45%,-18.39%,8.31%,83.33%,17.75%,50.00%,35.00%,50.00%,76.75%,66.67%,WATCH,OK
UBER,UBER,Uber,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,11,-39.73%,-25.38%,14.09%,81.82%,28.62%,81.82%,25.19%,54.55%,59.84%,63.64%,WATCH,OK
UMC,UMC,UMC,SEMICONDUCTOR_STOCK,STOCK_B_20_30_40_55,52w_high,23,-27.21%,-13.14%,3.87%,65.22%,15.11%,60.87%,20.87%,65.22%,32.57%,65.22%,STRONG_RESEARCH_CANDIDATE,OK
UNG,UNG,US Natural Gas ETF,COMMODITY_ETF,ETF_B_15_25_35,52w_high,30,-25.32%,-44.95%,-1.26%,33.33%,-7.52%,30.00%,-15.23%,13.33%,-34.08%,16.67%,NO,OK
UNH,UNH,UnitedHealth,STOCK,STOCK_B_20_30_40_55,52w_high,10,-30.70%,-20.77%,5.82%,80.00%,6.06%,70.00%,10.24%,70.00%,28.96%,70.00%,STRONG_RESEARCH_CANDIDATE,OK
UNP,UNP,Union Pacific,STOCK,STOCK_C_25_35_45_60,52w_high,5,-30.58%,-11.97%,9.86%,60.00%,15.37%,60.00%,26.14%,80.00%,39.86%,100.00%,STRONG_RESEARCH_CANDIDATE,OK
USO,USO,US Oil Fund,COMMODITY_ETF,ETF_B_15_25_35,52w_high,29,-21.24%,-23.77%,-1.92%,55.17%,-6.95%,44.83%,1.46%,51.72%,-0.54%,44.83%,WATCH,OK
VDE,VDE,Vanguard Energy ETF,SECTOR_ETF,ETF_B_15_25_35,52w_high,17,-20.84%,-12.30%,0.22%,47.06%,6.58%,70.59%,10.49%,70.59%,17.47%,76.47%,STRONG_RESEARCH_CANDIDATE,OK
VNQ,VNQ,Vanguard Real Estate ETF,SECTOR_ETF,ETF_B_15_25_35,52w_high,11,-19.52%,-9.83%,4.42%,81.82%,9.61%,90.91%,9.52%,72.73%,20.22%,81.82%,STRONG_RESEARCH_CANDIDATE,OK
VZ,VZ,Verizon,STOCK,STOCK_A_15_25_35_50,52w_high,9,-17.14%,-8.65%,6.55%,77.78%,6.19%,77.78%,5.66%,66.67%,8.05%,55.56%,STRONG_RESEARCH_CANDIDATE,OK
WLK,WLK,Westlake,CYCLICAL_STOCK,STOCK_B_20_30_40_55,52w_high,25,-33.54%,-20.27%,4.09%,36.00%,8.97%,44.00%,28.41%,60.00%,44.31%,56.00%,STRONG_RESEARCH_CANDIDATE,OK
WMB,WMB,Williams,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,13,-37.25%,-34.93%,3.87%,53.85%,11.39%,61.54%,16.67%,69.23%,35.36%,76.92%,RESEARCH_CANDIDATE,OK
WMT,WMT,Walmart,STOCK,STOCK_C_25_35_45_60,52w_high,3,-28.51%,-5.90%,0.99%,66.67%,6.49%,66.67%,15.79%,100.00%,21.37%,100.00%,WATCH_SAMPLE_LOW,OK
XOM,XOM,Exxon Mobil,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,9,-28.84%,-15.90%,-4.16%,44.44%,11.54%,66.67%,3.13%,44.44%,27.51%,77.78%,WATCH,OK
