ticker,date,layer,threshold,close,reference_high,drawdown,data_status,research_status,ret_7d,ret_14d,ret_30d,ret_60d,ret_90d,max_adverse_90d
MUSDT,2025-07-17,L1,-50.00%,0.3563434488,0.7790663751,-54.26%,OK,CRYPTO_WATCH_ONLY,6.14%,10.38%,14.44%,600.47%,463.16%,-10.33%
MUSDT,2025-11-27,L1,-50.00%,1.271776653,2.8184951953,-54.88%,OK,CRYPTO_WATCH_ONLY,4.39%,18.62%,17.50%,26.51%,2.94%,-2.52%
MUSDT,2026-06-25,L1,-50.00%,0.9963529864,4.5239421628,-77.98%,OK,CRYPTO_WATCH_ONLY,61.61%,,,,,-40.89%
MUSDT,2026-06-25,L2,-65.00%,0.9963529864,4.5239421628,-77.98%,OK,CRYPTO_WATCH_ONLY,61.61%,,,,,-40.89%
MUSDT,2026-06-26,L3,-80.00%,0.7689610905,4.5239421628,-83.00%,OK,CRYPTO_WATCH_ONLY,99.87%,,,,,-23.41%
