rule,exit_reason,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
base_60d,close_below_ma25,40,12.50%,-2.87%,-2.98%,1.60,0.08,-9.84%,3.72%
base_60d,volume_weak,129,54.26%,1.11%,0.25%,2.21,2.09,-13.13%,32.15%
risk_30d,max_30d,24,79.17%,5.41%,7.01%,30.00,6.59,-8.04%,12.97%
risk_30d,risk_stop,93,0.00%,-9.66%,-9.30%,13.52,0.00,-15.82%,-8.20%
risk_30d,target_reached,52,100.00%,19.52%,18.08%,10.92,,14.84%,37.86%
trend_60d,atr_trail,30,60.00%,4.74%,4.56%,11.90,3.32,-12.37%,29.80%
trend_60d,close_below_ma25,131,31.30%,4.90%,-1.92%,15.10,3.04,-9.84%,54.07%
trend_60d,max_60d,8,100.00%,63.63%,62.74%,60.00,,55.45%,71.35%
