ticker,engine,scheme,layer,threshold,date,close,reference_high,reference_mode,drawdown,ret_21d,ret_63d,ret_126d,ret_252d,max_adverse_252d
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2014-10-03,359.5119934082031,457.3340148925781,cycle_high,-21.39%,-0.32%,4.82%,-38.18%,-36.03%,-50.46%
BTC-USD,比特幣引擎,BTC_A,L2,-35.00%,2015-01-03,281.0820007324219,457.3340148925781,cycle_high,-38.54%,-11.82%,-1.72%,-13.96%,-16.31%,-36.64%
BTC-USD,比特幣引擎,BTC_A,L3,-50.00%,2015-01-13,225.86099243164062,457.3340148925781,cycle_high,-50.61%,0.62%,26.41%,2.69%,2.11%,-21.14%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2016-01-15,364.33099365234375,465.3210144042969,cycle_high,-21.70%,6.10%,12.41%,21.50%,65.47%,0.00%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2016-06-22,596.1160278320312,766.3079833984375,cycle_high,-22.21%,9.79%,-2.67%,13.79%,105.08%,-8.16%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2017-01-06,902.2009887695312,1154.72998046875,cycle_high,-21.87%,1.95%,23.78%,91.11%,303.18%,-13.79%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2017-03-18,973.8179931640625,1274.989990234375,cycle_high,-23.62%,20.76%,114.08%,188.57%,802.73%,-3.73%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2017-07-11,2337.7900390625,2958.110107421875,cycle_high,-20.97%,16.27%,76.70%,183.85%,281.28%,-17.45%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2017-09-13,3882.590087890625,4892.009765625,cycle_high,-20.63%,8.93%,88.42%,188.17%,94.66%,-18.74%
BTC-USD,比特幣引擎,BTC_A,L2,-35.00%,2017-09-14,3154.949951171875,4892.009765625,cycle_high,-35.51%,37.19%,149.50%,263.71%,140.49%,0.00%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2017-11-12,5950.06982421875,7459.68994140625,cycle_high,-20.24%,90.30%,131.46%,38.21%,24.68%,-0.78%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2017-12-22,13831.7998046875,19497.400390625,cycle_high,-29.06%,1.08%,-25.53%,-35.03%,-49.12%,-57.32%
BTC-USD,比特幣引擎,BTC_A,L2,-35.00%,2018-01-16,11490.5,19497.400390625,cycle_high,-41.07%,-32.52%,-22.43%,-30.01%,-43.90%,-48.62%
BTC-USD,比特幣引擎,BTC_A,L3,-50.00%,2018-02-01,9170.5400390625,19497.400390625,cycle_high,-52.97%,9.10%,-25.72%,-16.27%,-31.78%,-35.63%
BTC-USD,比特幣引擎,BTC_A,L4,-65.00%,2018-04-05,6811.47021484375,19497.400390625,cycle_high,-65.06%,36.26%,12.73%,-3.57%,-51.35%,-49.79%
BTC-USD,比特幣引擎,BTC_A,L5,-80.00%,2018-11-24,3880.760009765625,19497.400390625,cycle_high,-80.10%,-16.59%,-7.17%,5.82%,178.86%,-16.59%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2021-01-21,30825.69921875,40797.609375,cycle_high,-24.44%,55.42%,67.73%,24.69%,42.06%,-3.30%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2021-02-28,45137.76953125,57539.9453125,cycle_high,-21.55%,27.44%,25.46%,-21.82%,40.30%,-33.96%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2021-04-24,50050.8671875,63503.45703125,cycle_high,-21.18%,-6.57%,-35.69%,-2.29%,-4.72%,-40.45%
BTC-USD,比特幣引擎,BTC_A,L2,-35.00%,2021-05-19,37002.44140625,63503.45703125,cycle_high,-41.73%,0.93%,-13.22%,17.76%,-0.41%,-19.44%
BTC-USD,比特幣引擎,BTC_A,L3,-50.00%,2021-06-21,31676.693359375,63503.45703125,cycle_high,-50.12%,4.67%,56.41%,99.01%,36.36%,-5.90%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2021-11-26,53569.765625,67566.828125,cycle_high,-20.72%,-13.75%,-29.47%,-13.60%,-56.53%,-64.50%
BTC-USD,比特幣引擎,BTC_A,L2,-35.00%,2022-01-05,43569.00390625,67566.828125,cycle_high,-35.52%,-15.42%,-3.64%,-33.58%,-53.54%,-56.76%
BTC-USD,比特幣引擎,BTC_A,L3,-50.00%,2022-05-09,30296.953125,67566.828125,cycle_high,-55.16%,4.72%,-34.08%,-26.16%,-30.13%,-47.89%
BTC-USD,比特幣引擎,BTC_A,L4,-65.00%,2022-06-13,22487.388671875,67566.828125,cycle_high,-66.72%,-10.03%,7.34%,-13.06%,10.41%,-29.79%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2024-05-01,58254.01171875,73083.5,cycle_high,-20.29%,18.66%,3.30%,-0.48%,63.15%,-7.39%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2024-07-04,56977.703125,73083.5,cycle_high,-22.04%,15.44%,-1.43%,33.22%,42.28%,-5.32%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2025-02-26,84347.0234375,106146.265625,cycle_high,-20.54%,2.97%,11.69%,29.06%,23.17%,-9.57%
BTC-USD,比特幣引擎,BTC_A,L1,-20.00%,2025-11-13,99697.4921875,124752.53125,cycle_high,-20.08%,-7.58%,-4.16%,-29.88%,,-41.26%
BTC-USD,比特幣引擎,BTC_A,L2,-35.00%,2026-01-31,78621.1171875,124752.53125,cycle_high,-36.98%,-13.50%,-14.41%,-22.58%,,-25.52%
BTC-USD,比特幣引擎,BTC_A,L3,-50.00%,2026-06-05,60922.66796875,124752.53125,cycle_high,-51.17%,-1.49%,,,,-3.88%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2014-10-04,328.8659973144531,457.3340148925781,cycle_high,-28.09%,5.60%,13.96%,-30.75%,-29.33%,-45.84%
BTC-USD,比特幣引擎,BTC_B,L2,-40.00%,2015-01-04,264.19500732421875,457.3340148925781,cycle_high,-42.23%,-3.97%,3.85%,-9.05%,-12.75%,-32.59%
BTC-USD,比特幣引擎,BTC_B,L3,-55.00%,2015-01-14,178.10299682617188,457.3340148925781,cycle_high,-61.06%,27.37%,43.90%,31.39%,29.30%,0.00%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2016-08-02,547.4650268554688,766.3079833984375,cycle_high,-28.56%,6.57%,11.46%,39.59%,120.11%,0.00%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2017-01-11,777.7570190429688,1154.72998046875,cycle_high,-32.65%,27.16%,60.67%,136.46%,402.21%,0.00%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2017-03-24,937.52001953125,1274.989990234375,cycle_high,-26.47%,24.53%,134.92%,199.62%,1070.71%,0.00%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2017-07-15,1998.8599853515625,2958.110107421875,cycle_high,-32.43%,62.74%,81.36%,289.73%,333.65%,-3.45%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2017-09-14,3154.949951171875,4892.009765625,cycle_high,-35.51%,37.19%,149.50%,263.71%,140.49%,0.00%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2017-12-22,13831.7998046875,19497.400390625,cycle_high,-29.06%,1.08%,-25.53%,-35.03%,-49.12%,-57.32%
BTC-USD,比特幣引擎,BTC_B,L2,-40.00%,2018-01-16,11490.5,19497.400390625,cycle_high,-41.07%,-32.52%,-22.43%,-30.01%,-43.90%,-48.62%
BTC-USD,比特幣引擎,BTC_B,L3,-55.00%,2018-02-04,8277.009765625,19497.400390625,cycle_high,-57.55%,16.77%,-15.14%,-18.01%,-24.00%,-28.68%
BTC-USD,比特幣引擎,BTC_B,L4,-70.00%,2018-11-14,5738.35009765625,19497.400390625,cycle_high,-70.57%,-34.58%,-36.31%,-28.77%,70.99%,-43.59%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2021-01-27,30432.546875,40797.609375,cycle_high,-25.41%,71.36%,93.60%,23.47%,81.92%,-2.05%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2021-05-15,46760.1875,63503.45703125,cycle_high,-26.37%,-23.97%,-32.56%,3.25%,-25.09%,-36.25%
BTC-USD,比特幣引擎,BTC_B,L2,-40.00%,2021-05-19,37002.44140625,63503.45703125,cycle_high,-41.73%,0.93%,-13.22%,17.76%,-0.41%,-19.44%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2021-12-04,49200.703125,67566.828125,cycle_high,-27.18%,2.50%,-15.77%,-13.05%,-50.36%,-61.35%
BTC-USD,比特幣引擎,BTC_B,L2,-40.00%,2022-01-21,36457.31640625,67566.828125,cycle_high,-46.04%,16.32%,21.65%,-21.48%,-46.70%,-49.13%
BTC-USD,比特幣引擎,BTC_B,L3,-55.00%,2022-05-09,30296.953125,67566.828125,cycle_high,-55.16%,4.72%,-34.08%,-26.16%,-30.13%,-47.89%
BTC-USD,比特幣引擎,BTC_B,L4,-70.00%,2022-06-18,19017.642578125,67566.828125,cycle_high,-71.85%,13.54%,11.30%,1.00%,21.86%,-16.99%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2024-08-05,53991.45703125,73083.5,cycle_high,-26.12%,16.46%,15.27%,80.46%,56.58%,-0.08%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2025-03-10,78532.0,106146.265625,cycle_high,-26.02%,5.12%,30.92%,52.61%,17.27%,-2.88%
BTC-USD,比特幣引擎,BTC_B,L1,-25.00%,2025-11-17,92093.875,124752.53125,cycle_high,-26.18%,-1.58%,0.50%,-23.00%,,-36.41%
BTC-USD,比特幣引擎,BTC_B,L2,-40.00%,2026-02-04,73019.703125,124752.53125,cycle_high,-41.47%,-6.93%,-2.60%,-15.85%,,-19.80%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2010-06-24,0.2546369433403015,0.4327223300933838,52w_high,-41.15%,-5.04%,4.59%,35.28%,45.90%,-20.07%
NVDA,AI基礎建設,AI_A,L2,-25.00%,2010-06-24,0.2546369433403015,0.4327223300933838,52w_high,-41.15%,-5.04%,4.59%,35.28%,45.90%,-20.07%
NVDA,AI基礎建設,AI_A,L3,-35.00%,2010-06-24,0.2546369433403015,0.4327223300933838,52w_high,-41.15%,-5.04%,4.59%,35.28%,45.90%,-20.07%
NVDA,AI基礎建設,AI_A,L4,-50.00%,2010-07-29,0.20925618708133698,0.4327223300933838,52w_high,-51.64%,10.84%,31.87%,168.02%,51.48%,-2.74%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2011-03-01,0.4962098002433777,0.5885758399963379,52w_high,-15.69%,-14.78%,-7.44%,-38.29%,-30.02%,-45.82%
NVDA,AI基礎建設,AI_A,L2,-25.00%,2011-03-09,0.4386814534664154,0.5885758399963379,52w_high,-25.47%,-5.43%,-8.20%,-25.55%,-22.36%,-38.71%
NVDA,AI基礎建設,AI_A,L3,-35.00%,2011-06-16,0.3710685968399048,0.5885758399963379,52w_high,-36.95%,-14.76%,-4.26%,-16.12%,-24.09%,-27.55%
NVDA,AI基礎建設,AI_A,L4,-50.00%,2011-08-08,0.27343106269836426,0.5885758399963379,52w_high,-53.54%,19.45%,24.22%,31.94%,18.61%,-1.68%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2014-10-10,0.4025835394859314,0.4785606563091278,52w_high,-15.88%,18.81%,17.35%,33.78%,59.04%,-0.36%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2015-07-07,0.4788621664047241,0.5652909874916077,52w_high,-15.29%,3.99%,28.99%,67.53%,144.23%,-2.43%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2016-01-14,0.6992974281311035,0.8232048153877258,52w_high,-15.05%,-5.86%,29.98%,84.96%,264.23%,-12.03%
NVDA,AI基礎建設,AI_A,L2,-25.00%,2016-02-08,0.615147590637207,0.8232048153877258,52w_high,-25.27%,26.27%,40.40%,134.37%,376.90%,0.00%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2017-02-23,2.4777634143829346,2.9336636066436768,52w_high,-15.54%,6.95%,38.04%,65.31%,145.53%,-4.98%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2018-10-10,6.084728717803955,7.166252613067627,52w_high,-15.09%,-16.16%,-39.36%,-22.51%,-23.98%,-48.22%
NVDA,AI基礎建設,AI_A,L2,-25.00%,2018-10-24,4.938563823699951,7.166252613067627,52w_high,-31.09%,-27.29%,-30.72%,-9.89%,3.00%,-36.21%
NVDA,AI基礎建設,AI_A,L3,-35.00%,2018-10-29,4.597042083740234,7.166252613067627,52w_high,-35.85%,-13.76%,-22.48%,-1.11%,9.82%,-31.47%
NVDA,AI基礎建設,AI_A,L4,-50.00%,2018-12-17,3.5594425201416016,7.166252613067627,52w_high,-50.33%,5.67%,21.59%,6.88%,59.62%,-11.49%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2020-02-25,6.521761894226074,7.832087516784668,52w_high,-16.73%,-6.21%,33.15%,94.37%,121.68%,-25.01%
NVDA,AI基礎建設,AI_A,L2,-25.00%,2020-03-12,5.386630058288574,7.832087516784668,52w_high,-31.22%,24.75%,62.73%,127.84%,138.06%,-9.20%
NVDA,AI基礎建設,AI_A,L3,-35.00%,2020-03-16,4.8908233642578125,7.832087516784668,52w_high,-37.55%,42.99%,86.92%,162.36%,171.08%,0.00%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2020-09-08,11.875441551208496,14.301268577575684,52w_high,-16.96%,17.22%,14.25%,4.73%,87.71%,-2.66%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2021-03-03,12.76815128326416,15.286431312561035,52w_high,-16.47%,7.90%,31.08%,74.95%,89.35%,-9.46%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2021-05-13,13.630892753601074,16.096681594848633,52w_high,-15.32%,31.89%,45.69%,115.66%,18.45%,0.00%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2021-12-13,28.105030059814453,33.30558395385742,52w_high,-15.61%,-0.58%,-18.41%,-43.74%,-35.77%,-60.11%
NVDA,AI基礎建設,AI_A,L2,-25.00%,2022-01-20,24.102008819580078,33.30558395385742,52w_high,-27.63%,-2.10%,-16.41%,-28.26%,-20.45%,-53.48%
NVDA,AI基礎建設,AI_A,L3,-35.00%,2022-03-07,21.313190460205078,33.30558395385742,52w_high,-36.01%,21.45%,-12.02%,-36.92%,13.36%,-47.39%
NVDA,AI基礎建設,AI_A,L4,-50.00%,2022-05-11,16.599775314331055,33.30558395385742,52w_high,-50.16%,2.09%,7.91%,-17.12%,70.57%,-32.46%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2023-09-21,40.98833465576172,49.31645202636719,52w_high,-16.89%,0.90%,17.31%,129.91%,183.53%,-1.68%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2023-10-20,41.35808181762695,49.31645202636719,52w_high,-16.14%,21.80%,44.68%,99.18%,247.05%,-2.56%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2024-04-19,76.15702819824219,94.94840240478516,52w_high,-19.79%,24.38%,62.14%,81.13%,34.83%,0.00%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2024-07-24,114.19493865966797,135.5146484375,52w_high,-15.73%,8.31%,25.69%,24.85%,54.75%,-17.43%
NVDA,AI基礎建設,AI_A,L2,-25.00%,2024-08-05,100.40159606933594,135.5146484375,52w_high,-25.91%,5.73%,34.80%,24.29%,80.02%,-6.09%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2024-09-03,107.94795227050781,135.5146484375,52w_high,-20.34%,10.06%,28.37%,2.40%,54.70%,-12.65%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2025-01-27,118.38121032714844,149.3810577392578,52w_high,-20.75%,10.86%,-8.17%,48.23%,61.77%,-20.35%
NVDA,AI基礎建設,AI_A,L2,-25.00%,2025-03-06,110.53378295898438,149.3810577392578,52w_high,-26.01%,-14.70%,26.62%,51.08%,65.23%,-14.70%
NVDA,AI基礎建設,AI_A,L3,-35.00%,2025-04-04,94.28778076171875,149.3810577392578,52w_high,-36.88%,20.39%,69.67%,96.76%,93.11%,0.00%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2025-12-12,175.01052856445312,207.01727294921875,52w_high,-15.46%,4.64%,3.95%,18.51%,,-5.62%
NVDA,AI基礎建設,AI_A,L1,-15.00%,2026-06-23,200.0399932861328,235.74000549316406,52w_high,-15.14%,,,,,-3.75%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2010-06-24,0.2546369433403015,0.4327223300933838,52w_high,-41.15%,-5.04%,4.59%,35.28%,45.90%,-20.07%
NVDA,AI基礎建設,AI_B,L2,-30.00%,2010-06-24,0.2546369433403015,0.4327223300933838,52w_high,-41.15%,-5.04%,4.59%,35.28%,45.90%,-20.07%
NVDA,AI基礎建設,AI_B,L3,-40.00%,2010-06-24,0.2546369433403015,0.4327223300933838,52w_high,-41.15%,-5.04%,4.59%,35.28%,45.90%,-20.07%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2011-03-07,0.46916475892066956,0.5885758399963379,52w_high,-20.29%,-14.12%,-11.72%,-36.88%,-28.09%,-42.70%
NVDA,AI基礎建設,AI_B,L2,-30.00%,2011-03-10,0.4107196033000946,0.5885758399963379,52w_high,-30.22%,-2.06%,-3.07%,-20.87%,-17.30%,-34.54%
NVDA,AI基礎建設,AI_B,L3,-40.00%,2011-07-11,0.34127309918403625,0.5885758399963379,52w_high,-42.02%,-13.16%,-4.97%,-2.35%,-13.90%,-21.22%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2016-02-05,0.6446609497070312,0.8232048153877258,52w_high,-21.69%,20.57%,34.16%,121.58%,348.12%,-4.58%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2018-10-19,5.675596237182617,7.166252613067627,52w_high,-20.80%,-36.86%,-34.79%,-16.41%,-14.29%,-44.49%
NVDA,AI基礎建設,AI_B,L2,-30.00%,2018-10-24,4.938563823699951,7.166252613067627,52w_high,-31.09%,-27.29%,-30.72%,-9.89%,3.00%,-36.21%
NVDA,AI基礎建設,AI_B,L3,-40.00%,2018-11-16,4.072254180908203,7.166252613067627,52w_high,-43.17%,-15.68%,-5.17%,-7.25%,27.02%,-22.64%
NVDA,AI基礎建設,AI_B,L4,-55.00%,2018-12-21,3.212125539779663,7.166252613067627,52w_high,-55.18%,21.82%,36.65%,17.16%,85.04%,-1.92%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2020-03-09,6.112036228179932,7.832087516784668,52w_high,-21.96%,5.54%,43.56%,105.87%,104.33%,-19.98%
NVDA,AI基礎建設,AI_B,L2,-30.00%,2020-03-12,5.386630058288574,7.832087516784668,52w_high,-31.22%,24.75%,62.73%,127.84%,138.06%,-9.20%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2021-03-08,11.560113906860352,15.286431312561035,52w_high,-24.38%,22.04%,52.03%,97.19%,84.37%,0.00%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2022-01-13,26.52218246459961,33.30558395385742,52w_high,-20.37%,-8.68%,-19.99%,-39.39%,-33.33%,-57.72%
NVDA,AI基礎建設,AI_B,L2,-30.00%,2022-01-25,22.279638290405273,33.30558395385742,52w_high,-33.11%,6.38%,-15.83%,-20.28%,-11.21%,-49.67%
NVDA,AI基礎建設,AI_B,L3,-40.00%,2022-04-22,19.479534149169922,33.30558395385742,52w_high,-41.51%,-13.41%,-12.75%,-36.09%,34.59%,-42.44%
NVDA,AI基礎建設,AI_B,L4,-55.00%,2022-07-01,14.499671936035156,33.30558395385742,52w_high,-56.46%,27.56%,-16.39%,0.68%,191.62%,-22.67%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2024-07-30,103.68000793457031,135.5146484375,52w_high,-23.49%,21.09%,35.48%,20.19%,67.53%,-9.06%
NVDA,AI基礎建設,AI_B,L1,-20.00%,2024-09-03,107.94795227050781,135.5146484375,52w_high,-20.34%,10.06%,28.37%,2.40%,54.70%,-12.65%
