rule,exit_reason,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
base_60d,close_below_ma25,2057,18.42%,-2.43%,-1.94%,2.40,0.16,-35.32%,95.13%
base_60d,max_60d,5,20.00%,0.58%,-0.20%,2.00,4.64,-0.20%,3.71%
base_60d,volume_weak,4425,56.32%,1.47%,0.30%,2.82,3.35,-22.59%,177.29%
risk_30d,max_30d,2761,73.45%,3.66%,3.70%,29.91,5.59,-8.11%,14.79%
risk_30d,risk_stop,2180,0.00%,-10.17%,-9.42%,12.21,0.00,-41.60%,-8.20%
risk_30d,target_reached,1546,100.00%,17.69%,16.32%,15.48,,14.80%,62.56%
trend_60d,atr_trail,1253,70.87%,8.95%,4.30%,17.72,8.73,-20.17%,214.72%
trend_60d,close_below_ma25,5170,28.09%,-0.89%,-1.75%,9.26,0.66,-41.60%,76.39%
trend_60d,max_60d,64,93.75%,43.52%,36.37%,51.02,3482.77,-0.20%,211.33%
