ticker,signal,date,close,drawdown_60,drawdown_252,above_ma50,above_ma200,ret_3d_before,ret_5d_before,vol_20,vol_60,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,max_adverse_60d
BTC-USD,B_趨勢回踩型,2015-12-20,442.68499755859375,-4.86%,-4.86%,True,True,-2.94%,-4.86%,54.88%,65.58%,2.93%,-3.63%,1.11%,-14.13%,-4.59%,-17.70%
BTC-USD,B_趨勢回踩型,2015-12-31,430.5669860839844,-7.47%,-7.47%,True,True,1.96%,3.19%,46.18%,66.58%,0.32%,4.05%,-2.40%,-12.15%,1.66%,-15.38%
BTC-USD,B_趨勢回踩型,2016-01-11,448.4280090332031,-3.63%,-3.63%,True,True,-1.06%,4.50%,43.41%,45.88%,-13.58%,-8.51%,-17.76%,-14.89%,-5.96%,-18.75%
BTC-USD,A_回撤反彈型,2016-01-20,420.2300109863281,-9.69%,-9.69%,False,True,9.92%,15.34%,77.51%,60.51%,-6.78%,-9.99%,-10.52%,0.13%,-1.54%,-12.25%
BTC-USD,B_趨勢回踩型,2016-01-24,402.97100830078125,-13.40%,-13.40%,False,True,-1.78%,6.00%,82.98%,62.76%,-5.83%,-8.19%,-2.76%,4.41%,3.33%,-8.49%
BTC-USD,A_回撤反彈型,2016-02-04,389.593994140625,-16.27%,-16.27%,False,True,4.43%,3.00%,61.37%,60.23%,-3.48%,4.53%,9.08%,2.82%,8.18%,-4.14%
BTC-USD,B_趨勢回踩型,2016-02-14,407.2300109863281,-12.16%,-12.48%,True,True,7.26%,8.30%,33.14%,55.72%,3.33%,4.35%,-1.64%,2.36%,4.19%,-1.73%
BTC-USD,A_回撤反彈型,2016-02-15,400.18499755859375,-13.68%,-14.00%,False,True,4.14%,4.86%,33.85%,55.81%,9.24%,6.09%,1.88%,4.20%,7.38%,0.00%
BTC-USD,B_趨勢回踩型,2016-02-25,424.54400634765625,-7.31%,-8.76%,True,True,-3.02%,-2.89%,30.73%,53.40%,2.49%,-3.97%,-1.77%,-1.55%,8.69%,-5.65%
BTC-USD,B_趨勢回踩型,2016-03-07,414.3210144042969,-8.58%,-10.96%,True,True,0.82%,-2.28%,30.09%,52.27%,-0.65%,1.52%,3.00%,2.19%,10.93%,-1.15%
BTC-USD,B_趨勢回踩型,2016-03-18,409.5480041503906,-6.67%,-11.99%,True,True,-1.75%,-1.09%,23.33%,39.46%,2.07%,3.59%,3.22%,4.36%,10.80%,0.00%
BTC-USD,B_趨勢回踩型,2016-03-29,416.5159912109375,-5.08%,-10.49%,True,True,-0.34%,0.03%,18.55%,26.82%,1.05%,0.92%,2.90%,7.80%,27.26%,-0.41%
BTC-USD,B_趨勢回踩型,2016-04-09,419.4110107421875,-4.42%,-9.87%,False,True,-0.95%,-0.48%,12.27%,22.98%,1.16%,3.84%,8.51%,9.79%,38.68%,0.00%
BTC-USD,B_趨勢回踩型,2016-04-27,444.68701171875,-4.59%,-4.59%,True,True,-3.02%,-0.24%,22.29%,19.92%,-0.00%,3.11%,2.05%,6.47%,41.53%,-1.34%
BTC-USD,B_趨勢回踩型,2016-05-10,450.8949890136719,-3.26%,-3.26%,True,True,-1.67%,0.65%,26.36%,19.13%,1.48%,-1.82%,18.40%,27.44%,44.37%,-2.70%
BTC-USD,B_趨勢回踩型,2016-05-21,443.18798828125,-4.91%,-4.91%,True,True,-2.51%,-2.42%,20.03%,18.94%,2.30%,19.90%,30.30%,66.35%,50.20%,-0.87%
BTC-USD,B_趨勢回踩型,2016-06-20,737.2260131835938,-3.80%,-3.80%,True,True,-1.56%,6.16%,61.56%,47.65%,-9.78%,-8.67%,-11.92%,-9.70%,-21.92%,-25.74%
BTC-USD,A_回撤反彈型,2016-06-30,673.3369750976562,-12.13%,-12.13%,True,True,2.76%,1.23%,91.36%,60.49%,-0.40%,-3.56%,-1.14%,-2.72%,-14.74%,-18.69%
BTC-USD,B_趨勢回踩型,2016-07-01,676.2960205078125,-11.75%,-11.75%,True,True,4.53%,7.46%,90.05%,60.29%,0.15%,-4.23%,-1.67%,-7.63%,-14.61%,-19.05%
BTC-USD,A_回撤反彈型,2016-07-12,664.551025390625,-13.28%,-13.28%,True,True,2.09%,3.74%,59.74%,64.60%,2.24%,-2.10%,-8.77%,-11.35%,-6.18%,-17.62%
BTC-USD,B_趨勢回踩型,2016-07-12,664.551025390625,-13.28%,-13.28%,True,True,2.09%,3.74%,59.74%,64.60%,2.24%,-2.10%,-8.77%,-11.35%,-6.18%,-17.62%
BTC-USD,B_趨勢回踩型,2016-07-23,655.5560302734375,-14.45%,-14.45%,False,True,-1.52%,-2.61%,35.68%,64.65%,-0.08%,-16.49%,-10.37%,-10.50%,-8.91%,-16.49%
BTC-USD,A_回撤反彈型,2016-07-30,655.0469970703125,-14.52%,-14.52%,False,True,0.11%,0.15%,19.23%,59.74%,-11.72%,-10.27%,-12.12%,-12.36%,-7.68%,-16.42%
BTC-USD,C_過度波動禁止型,2016-08-02,547.4650268554688,-28.56%,-28.56%,False,True,-16.42%,-16.42%,41.27%,63.21%,8.26%,7.32%,7.18%,4.54%,12.15%,0.00%
BTC-USD,C_過度波動禁止型,2016-08-14,570.4730224609375,-25.56%,-25.56%,False,True,-3.17%,-2.95%,44.11%,57.64%,0.90%,1.70%,4.86%,6.80%,11.62%,-0.57%
BTC-USD,A_回撤反彈型,2016-08-20,581.697021484375,-17.34%,-24.09%,False,True,1.48%,2.55%,42.52%,49.23%,-0.68%,-0.72%,7.08%,4.73%,8.39%,-2.02%
BTC-USD,A_回撤反彈型,2016-09-03,598.2119750976562,-11.96%,-21.94%,False,True,3.95%,4.20%,18.50%,33.34%,4.70%,1.84%,0.77%,2.33%,23.84%,-0.32%
BTC-USD,B_趨勢回踩型,2016-09-03,598.2119750976562,-11.96%,-21.94%,False,True,3.95%,4.20%,18.50%,33.34%,4.70%,1.84%,0.77%,2.33%,23.84%,-0.32%
BTC-USD,B_趨勢回踩型,2016-09-14,610.6840209960938,-10.12%,-20.31%,True,True,0.65%,-1.96%,21.16%,30.22%,-0.24%,-1.32%,-0.08%,4.86%,14.96%,-2.36%
BTC-USD,A_回撤反彈型,2016-09-18,609.8740234375,-8.29%,-20.41%,True,True,0.45%,0.10%,20.23%,29.55%,-1.15%,-0.84%,1.51%,4.61%,21.50%,-2.23%
BTC-USD,B_趨勢回踩型,2016-09-25,600.8259887695312,-8.55%,-21.59%,True,True,0.76%,-1.23%,15.32%,29.35%,1.48%,1.94%,6.29%,9.45%,23.21%,0.00%
BTC-USD,B_趨勢回踩型,2016-11-03,688.7000122070312,-7.04%,-10.13%,True,True,-1.75%,-3.61%,38.43%,25.05%,3.07%,1.94%,8.12%,11.97%,48.36%,0.00%
BTC-USD,B_趨勢回踩型,2016-11-14,705.02099609375,-4.83%,-8.00%,True,True,-1.59%,-2.52%,38.16%,25.20%,6.61%,5.00%,9.77%,10.85%,16.87%,0.00%
BTC-USD,B_趨勢回踩型,2017-01-05,1013.3800048828125,-12.24%,-12.24%,True,True,-0.82%,5.15%,69.37%,43.63%,-10.43%,-18.91%,-11.04%,2.91%,25.60%,-23.25%
BTC-USD,C_過度波動禁止型,2017-01-11,777.7570190429688,-32.65%,-32.65%,False,True,-14.64%,-13.79%,95.88%,57.85%,6.91%,18.52%,24.77%,27.12%,57.04%,0.00%
BTC-USD,A_回撤反彈型,2017-01-17,907.93798828125,-21.37%,-21.37%,True,True,10.94%,12.81%,97.59%,60.52%,1.84%,1.30%,14.34%,13.16%,7.26%,-2.35%
BTC-USD,A_回撤反彈型,2017-01-28,921.5900268554688,-20.19%,-20.19%,True,True,2.22%,0.06%,67.19%,61.00%,9.79%,15.17%,13.52%,28.04%,12.85%,-0.23%
BTC-USD,B_趨勢回踩型,2017-02-01,989.0230102539062,-14.35%,-14.35%,True,True,7.56%,7.53%,42.03%,61.64%,4.97%,1.56%,12.77%,28.91%,11.44%,-5.21%
BTC-USD,B_趨勢回踩型,2017-02-12,999.1810302734375,-13.47%,-13.47%,True,True,0.48%,-5.86%,37.59%,63.55%,4.71%,11.84%,25.62%,24.10%,17.02%,-6.17%
BTC-USD,A_回撤反彈型,2017-02-14,1004.5499877929688,-13.01%,-13.01%,True,True,0.01%,1.02%,35.71%,63.61%,4.31%,16.84%,26.71%,18.24%,16.72%,-6.67%
BTC-USD,B_趨勢回踩型,2017-03-07,1223.5400390625,-4.04%,-4.04%,True,True,-2.52%,-2.20%,32.68%,47.25%,-0.18%,-10.08%,-14.53%,-3.34%,29.04%,-23.38%
BTC-USD,B_趨勢回踩型,2017-03-21,1120.5400390625,-12.11%,-12.11%,True,True,15.07%,-5.66%,77.19%,52.09%,-13.73%,-4.35%,5.94%,9.69%,86.05%,-16.33%
