rule,exit_reason,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
base_60d,close_below_ma25,76,27.63%,-2.20%,-3.03%,3.22,0.37,-15.05%,17.80%
base_60d,volume_weak,95,56.84%,3.93%,0.58%,3.55,4.47,-8.55%,77.34%
risk_30d,max_30d,16,68.75%,1.90%,2.88%,27.31,2.47,-5.45%,10.64%
risk_30d,risk_stop,96,0.00%,-11.20%,-9.54%,9.72,0.00,-31.99%,-8.24%
risk_30d,target_reached,59,100.00%,18.93%,17.42%,8.59,,14.93%,29.46%
trend_60d,atr_trail,14,85.71%,35.72%,15.77%,15.29,29.26,-9.88%,113.15%
trend_60d,close_below_ma25,157,28.66%,0.98%,-3.11%,8.39,1.27,-15.05%,56.86%
