rule,exit_reason,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
base_60d,close_below_ma25,40,10.00%,-6.85%,-5.55%,1.30,0.01,-21.57%,2.39%
base_60d,volume_weak,35,57.14%,3.12%,1.06%,2.77,2.37,-21.46%,35.08%
risk_30d,risk_stop,55,0.00%,-12.12%,-10.94%,4.22,0.00,-21.57%,-8.42%
risk_30d,target_reached,20,100.00%,19.23%,20.06%,5.05,,15.17%,26.23%
trend_60d,atr_trail,19,42.11%,2.98%,-0.52%,10.89,1.90,-18.73%,25.82%
trend_60d,close_below_ma25,56,10.71%,-6.85%,-5.55%,2.30,0.03,-21.57%,4.85%
