rule,exit_reason,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
base_60d,close_below_ma25,559,16.28%,-3.31%,-3.28%,2.23,0.13,-17.73%,16.83%
base_60d,max_60d,1,0.00%,-2.60%,-2.60%,0.00,0.00,-2.60%,-2.60%
base_60d,volume_weak,985,60.10%,1.69%,0.80%,2.35,3.09,-10.32%,91.99%
risk_30d,max_30d,352,70.45%,3.79%,3.86%,29.78,5.49,-7.48%,14.76%
risk_30d,risk_stop,655,0.00%,-9.88%,-9.30%,10.65,0.00,-21.38%,-8.21%
risk_30d,target_reached,538,100.00%,16.78%,16.11%,15.93,,14.81%,28.81%
trend_60d,atr_trail,232,69.83%,7.04%,4.01%,13.80,5.69,-11.50%,63.12%
trend_60d,close_below_ma25,1308,28.06%,-0.38%,-2.63%,9.83,0.88,-17.73%,73.37%
trend_60d,max_60d,5,80.00%,65.06%,94.14%,48.00,125.89,-2.60%,99.15%
