regime,trades,sample_level,wins,losses,win_rate,gross_pnl,cost,pnl,expectancy,profit_factor,max_drawdown_pnl
2015_2019_pre_ai_bull,565,策略研究成熟,317,248,0.5610619469026549,53.802499999999995,19.775000000000002,34.02749999999998,0.06022566371681413,1.3998272732079597,-24.886000000000116
2020_2021_liquidity_bull,364,策略研究成熟,195,169,0.5357142857142857,26.649499999999996,12.740000000000006,13.90949999999999,0.03821291208791206,1.217730574165675,-13.920000000000003
2022_rate_hike_bear,68,研究可用,6,62,0.08823529411764706,-22.629999999999995,2.380000000000001,-25.009999999999998,-0.36779411764705877,0.049483125570082095,-25.34899999999998
2023_2024_ai_bull,387,策略研究成熟,206,181,0.5322997416020672,24.987499999999997,13.545000000000005,11.442499999999988,0.02956718346253227,1.1596754161956988,-17.408999999999974
2025_now_recent_validation,285,策略研究成熟,104,181,0.3649122807017544,-8.8635,9.975000000000001,-18.838500000000003,-0.0661,0.7147691399241441,-21.797999999999966
