ticker,trades,gross_pnl,cost,pnl,avg_return
AMZN,2,0.19999999999999996,0.07,0.1299999999999999,0.019999999999999997
AVGO,2,0.19999999999999996,0.07,0.1299999999999999,0.019999999999999997
GOOGL,1,0.6,0.035,0.565,0.12
NVDA,2,0.19999999999999996,0.07,0.1299999999999999,0.019999999999999997
QQQ,2,-0.127,0.07,-0.19700000000000004,-0.0127
TSM,1,-0.4,0.035,-0.43500000000000005,-0.08
