ticker,industry,pattern,entry_date,entry_price,rule,cost,exit_date,exit_price,hold_days,exit_reason,gross_return,net_return
NVDA,AI半導體,誘多,2010-09-03,0.2269042581319809,base_60d,0.002,2010-09-07,0.22896698117256165,1,volume_weak,0.91%,0.71%
NVDA,AI半導體,誘多,2010-09-03,0.2269042581319809,risk_30d,0.002,2010-09-22,0.26105451583862305,12,target_reached,15.05%,14.85%
NVDA,AI半導體,誘多,2010-09-03,0.2269042581319809,trend_60d,0.002,2010-10-01,0.2601376473903656,19,atr_trail,14.65%,14.45%
NVDA,AI半導體,沖量,2010-09-13,0.2438646703958511,base_60d,0.002,2010-09-15,0.24203120172023773,2,volume_weak,-0.75%,-0.95%
NVDA,AI半導體,沖量,2010-09-13,0.2438646703958511,risk_30d,0.002,2010-09-24,0.2809944748878479,9,target_reached,15.23%,15.03%
NVDA,AI半導體,沖量,2010-09-13,0.2438646703958511,trend_60d,0.002,2010-10-01,0.2601376473903656,14,atr_trail,6.67%,6.47%
NVDA,AI半導體,誘多,2010-09-20,0.2454690486192703,base_60d,0.002,2010-09-21,0.2587624490261078,1,volume_weak,5.42%,5.22%
NVDA,AI半導體,誘多,2010-09-20,0.2454690486192703,risk_30d,0.002,2010-11-01,0.27595219016075134,30,max_30d,12.42%,12.22%
NVDA,AI半導體,誘多,2010-09-20,0.2454690486192703,trend_60d,0.002,2010-10-01,0.2601376473903656,9,atr_trail,5.98%,5.78%
NVDA,AI半導體,波段,2010-10-01,0.2601377665996551,base_60d,0.002,2010-10-04,0.25761649012565613,1,volume_weak,-0.97%,-1.17%
NVDA,AI半導體,波段,2010-10-01,0.2601377665996551,risk_30d,0.002,2010-11-12,0.3039141297340393,30,target_reached,16.83%,16.63%
NVDA,AI半導體,波段,2010-10-01,0.2601377665996551,trend_60d,0.002,2010-10-06,0.24707351624965668,3,close_below_ma25,-5.02%,-5.22%
NVDA,AI半導體,誘多,2010-10-11,0.2477610260248184,base_60d,0.002,2010-10-12,0.25257423520088196,1,close_below_ma25,1.94%,1.74%
NVDA,AI半導體,誘多,2010-10-11,0.2477610260248184,risk_30d,0.002,2010-11-05,0.28901633620262146,19,target_reached,16.65%,16.45%
NVDA,AI半導體,誘多,2010-10-11,0.2477610260248184,trend_60d,0.002,2010-10-12,0.25257423520088196,1,close_below_ma25,1.94%,1.74%
NVDA,AI半導體,沖量,2010-10-22,0.2704515159130096,base_60d,0.002,2010-10-28,0.2761814594268799,4,volume_weak,2.12%,1.92%
NVDA,AI半導體,沖量,2010-10-22,0.2704515159130096,risk_30d,0.002,2010-11-19,0.3151448965072632,20,target_reached,16.53%,16.33%
NVDA,AI半導體,沖量,2010-10-22,0.2704515159130096,trend_60d,0.002,2011-01-19,0.5136287212371826,60,max_60d,89.92%,89.72%
NVDA,AI半導體,波段,2010-10-25,0.2729725837707519,base_60d,0.002,2010-10-28,0.2761814594268799,3,volume_weak,1.18%,0.98%
NVDA,AI半導體,波段,2010-10-25,0.2729725837707519,risk_30d,0.002,2010-11-19,0.3151448965072632,19,target_reached,15.45%,15.25%
NVDA,AI半導體,波段,2010-10-25,0.2729725837707519,trend_60d,0.002,2011-01-20,0.5140870213508606,60,max_60d,88.33%,88.13%
NVDA,AI半導體,誘多,2010-10-28,0.2761814594268799,base_60d,0.002,2010-10-29,0.2754938006401062,1,volume_weak,-0.25%,-0.45%
NVDA,AI半導體,誘多,2010-10-28,0.2761814594268799,risk_30d,0.002,2010-12-01,0.3256879448890686,23,target_reached,17.93%,17.73%
NVDA,AI半導體,誘多,2010-10-28,0.2761814594268799,trend_60d,0.002,2011-01-25,0.549383282661438,60,max_60d,98.92%,98.72%
NVDA,AI半導體,誘多,2010-11-11,0.2890164256095886,base_60d,0.002,2010-11-19,0.3151448965072632,6,volume_weak,9.04%,8.84%
NVDA,AI半導體,誘多,2010-11-11,0.2890164256095886,risk_30d,0.002,2010-12-03,0.33898118138313293,15,target_reached,17.29%,17.09%
NVDA,AI半導體,誘多,2010-11-11,0.2890164256095886,trend_60d,0.002,2011-02-08,0.5470913648605347,60,max_60d,89.29%,89.09%
NVDA,AI半導體,沖量,2010-11-12,0.3039142191410064,base_60d,0.002,2010-11-19,0.3151448965072632,5,volume_weak,3.70%,3.50%
NVDA,AI半導體,沖量,2010-11-12,0.3039142191410064,risk_30d,0.002,2010-12-28,0.3424190580844879,30,max_30d,12.67%,12.47%
NVDA,AI半導體,沖量,2010-11-12,0.3039142191410064,trend_60d,0.002,2011-02-09,0.5337979197502136,60,max_60d,75.64%,75.44%
NVDA,AI半導體,誘多,2010-11-26,0.3117068707942962,base_60d,0.002,2010-11-29,0.3151448965072632,1,volume_weak,1.10%,0.90%
NVDA,AI半導體,誘多,2010-11-26,0.3117068707942962,risk_30d,0.002,2011-01-03,0.36258837580680847,25,target_reached,16.32%,16.12%
NVDA,AI半導體,誘多,2010-11-26,0.3117068707942962,trend_60d,0.002,2011-02-10,0.5230257511138916,52,close_below_ma25,67.79%,67.59%
NVDA,AI半導體,誘多,2010-12-10,0.3426483273506164,base_60d,0.002,2010-12-13,0.33393892645835876,1,volume_weak,-2.54%,-2.74%
NVDA,AI半導體,誘多,2010-12-10,0.3426483273506164,risk_30d,0.002,2011-01-06,0.44303616881370544,18,target_reached,29.30%,29.10%
NVDA,AI半導體,誘多,2010-12-10,0.3426483273506164,trend_60d,0.002,2011-02-10,0.5230257511138916,42,close_below_ma25,52.64%,52.44%
NVDA,AI半導體,誘多,2010-12-27,0.3437943160533905,base_60d,0.002,2010-12-28,0.3424190580844879,1,volume_weak,-0.40%,-0.60%
NVDA,AI半導體,誘多,2010-12-27,0.3437943160533905,risk_30d,0.002,2011-01-06,0.44303616881370544,8,target_reached,28.87%,28.67%
NVDA,AI半導體,誘多,2010-12-27,0.3437943160533905,trend_60d,0.002,2011-02-10,0.5230257511138916,32,close_below_ma25,52.13%,51.93%
NVDA,AI半導體,縮量黑馬,2010-12-30,0.3435650467872619,base_60d,0.002,2010-12-31,0.35296207666397095,1,volume_weak,2.74%,2.54%
NVDA,AI半導體,縮量黑馬,2010-12-30,0.3435650467872619,risk_30d,0.002,2011-01-06,0.44303616881370544,5,target_reached,28.95%,28.75%
NVDA,AI半導體,縮量黑馬,2010-12-30,0.3435650467872619,trend_60d,0.002,2011-02-10,0.5230257511138916,29,close_below_ma25,52.23%,52.03%
NVDA,AI半導體,沖量,2011-01-05,0.3891751170158386,base_60d,0.002,2011-01-31,0.5482370853424072,17,volume_weak,40.87%,40.67%
NVDA,AI半導體,沖量,2011-01-05,0.3891751170158386,risk_30d,0.002,2011-01-07,0.4554128050804138,2,target_reached,17.02%,16.82%
NVDA,AI半導體,沖量,2011-01-05,0.3891751170158386,trend_60d,0.002,2011-02-10,0.5230257511138916,25,close_below_ma25,34.39%,34.19%
NVDA,AI半導體,誘多,2011-02-01,0.5608431696891785,base_60d,0.002,2011-02-02,0.5862838625907898,1,volume_weak,4.54%,4.34%
NVDA,AI半導體,誘多,2011-02-01,0.5608431696891785,risk_30d,0.002,2011-02-23,0.5067527890205383,15,risk_stop,-9.64%,-9.84%
NVDA,AI半導體,誘多,2011-02-01,0.5608431696891785,trend_60d,0.002,2011-02-10,0.5230257511138916,7,close_below_ma25,-6.74%,-6.94%
NVDA,AI半導體,沖量,2011-02-03,0.5752823352813721,base_60d,0.002,2011-02-10,0.5230257511138916,5,close_below_ma25,-9.08%,-9.28%
NVDA,AI半導體,沖量,2011-02-03,0.5752823352813721,risk_30d,0.002,2011-02-10,0.5230257511138916,5,risk_stop,-9.08%,-9.28%
NVDA,AI半導體,沖量,2011-02-03,0.5752823352813721,trend_60d,0.002,2011-02-10,0.5230257511138916,5,close_below_ma25,-9.08%,-9.28%
NVDA,AI半導體,波段,2011-02-08,0.5470912456512451,base_60d,0.002,2011-02-10,0.5230257511138916,2,close_below_ma25,-4.40%,-4.60%
NVDA,AI半導體,波段,2011-02-08,0.5470912456512451,risk_30d,0.002,2011-03-01,0.49620991945266724,14,risk_stop,-9.30%,-9.50%
NVDA,AI半導體,波段,2011-02-08,0.5470912456512451,trend_60d,0.002,2011-02-10,0.5230257511138916,2,close_below_ma25,-4.40%,-4.60%
NVDA,AI半導體,波段,2011-02-23,0.5067527294158936,base_60d,0.002,2011-02-24,0.5191295146942139,1,close_below_ma25,2.44%,2.24%
NVDA,AI半導體,波段,2011-02-23,0.5067527294158936,risk_30d,0.002,2011-03-08,0.44807857275009155,9,risk_stop,-11.58%,-11.78%
NVDA,AI半導體,波段,2011-02-23,0.5067527294158936,trend_60d,0.002,2011-02-24,0.5191295146942139,1,close_below_ma25,2.44%,2.24%
NVDA,AI半導體,誘多,2011-04-15,0.4288262128829956,base_60d,0.002,2011-04-18,0.4146159291267395,1,volume_weak,-3.31%,-3.51%
NVDA,AI半導體,誘多,2011-04-15,0.4288262128829956,risk_30d,0.002,2011-05-31,0.4593091905117035,30,max_30d,7.11%,6.91%
NVDA,AI半導體,誘多,2011-04-15,0.4288262128829956,trend_60d,0.002,2011-04-19,0.41301146149635315,2,close_below_ma25,-3.69%,-3.89%
NVDA,AI半導體,誘多,2011-05-02,0.4522041380405426,base_60d,0.002,2011-05-03,0.430659681558609,1,volume_weak,-4.76%,-4.96%
NVDA,AI半導體,誘多,2011-05-02,0.4522041380405426,risk_30d,0.002,2011-05-16,0.40567731857299805,10,risk_stop,-10.29%,-10.49%
NVDA,AI半導體,誘多,2011-05-02,0.4522041380405426,trend_60d,0.002,2011-05-13,0.418512225151062,9,close_below_ma25,-7.45%,-7.65%
NVDA,AI半導體,波段,2011-05-13,0.4185122549533844,base_60d,0.002,2011-05-16,0.40567731857299805,1,close_below_ma25,-3.07%,-3.27%
NVDA,AI半導體,波段,2011-05-13,0.4185122549533844,risk_30d,0.002,2011-06-15,0.3843620717525482,22,risk_stop,-8.16%,-8.36%
NVDA,AI半導體,波段,2011-05-13,0.4185122549533844,trend_60d,0.002,2011-05-16,0.40567731857299805,1,close_below_ma25,-3.07%,-3.27%
NVDA,AI半導體,誘多,2011-05-20,0.4146159887313843,base_60d,0.002,2011-05-23,0.41415756940841675,1,close_below_ma25,-0.11%,-0.31%
NVDA,AI半導體,誘多,2011-05-20,0.4146159887313843,risk_30d,0.002,2011-06-16,0.3710685968399048,18,risk_stop,-10.50%,-10.70%
NVDA,AI半導體,誘多,2011-05-20,0.4146159887313843,trend_60d,0.002,2011-05-23,0.41415756940841675,1,close_below_ma25,-0.11%,-0.31%
NVDA,AI半導體,縮量黑馬,2011-06-03,0.4230962097644806,base_60d,0.002,2011-06-06,0.41415756940841675,1,close_below_ma25,-2.11%,-2.31%
NVDA,AI半導體,縮量黑馬,2011-06-03,0.4230962097644806,risk_30d,0.002,2011-06-15,0.3843620717525482,8,risk_stop,-9.15%,-9.35%
NVDA,AI半導體,縮量黑馬,2011-06-03,0.4230962097644806,trend_60d,0.002,2011-06-06,0.41415756940841675,1,close_below_ma25,-2.11%,-2.31%
NVDA,AI半導體,波段,2011-09-21,0.3316468596458435,base_60d,0.002,2011-09-22,0.30964395403862,1,close_below_ma25,-6.63%,-6.83%
NVDA,AI半導體,波段,2011-09-21,0.3316468596458435,risk_30d,0.002,2011-09-29,0.30001774430274963,6,risk_stop,-9.54%,-9.74%
NVDA,AI半導體,波段,2011-09-21,0.3316468596458435,trend_60d,0.002,2011-09-22,0.30964395403862,1,close_below_ma25,-6.63%,-6.83%
NVDA,AI半導體,沖量,2011-10-07,0.324312686920166,base_60d,0.002,2011-10-10,0.33875206112861633,1,volume_weak,4.45%,4.25%
NVDA,AI半導體,沖量,2011-10-07,0.324312686920166,risk_30d,0.002,2011-11-18,0.3192702531814575,30,max_30d,-1.55%,-1.75%
NVDA,AI半導體,沖量,2011-10-07,0.324312686920166,trend_60d,0.002,2011-11-01,0.3222498595714569,17,close_below_ma25,-0.64%,-0.84%
NVDA,AI半導體,誘多,2011-10-10,0.3387519717216491,base_60d,0.002,2011-10-11,0.3350849151611328,1,volume_weak,-1.08%,-1.28%
NVDA,AI半導體,誘多,2011-10-10,0.3387519717216491,risk_30d,0.002,2011-11-21,0.3353140652179718,30,max_30d,-1.01%,-1.21%
NVDA,AI半導體,誘多,2011-10-10,0.3387519717216491,trend_60d,0.002,2011-11-01,0.3222498595714569,16,close_below_ma25,-4.87%,-5.07%
NVDA,AI半導體,誘多,2011-10-27,0.3495241999626159,base_60d,0.002,2011-10-28,0.35754603147506714,1,volume_weak,2.30%,2.10%
NVDA,AI半導體,誘多,2011-10-27,0.3495241999626159,risk_30d,0.002,2011-11-02,0.31674906611442566,4,risk_stop,-9.38%,-9.58%
NVDA,AI半導體,誘多,2011-10-27,0.3495241999626159,trend_60d,0.002,2011-11-01,0.3222498595714569,3,close_below_ma25,-7.80%,-8.00%
NVDA,AI半導體,沖量,2011-11-11,0.3433359861373901,base_60d,0.002,2011-11-14,0.3366892635822296,1,close_below_ma25,-1.94%,-2.14%
NVDA,AI半導體,沖量,2011-11-11,0.3433359861373901,risk_30d,0.002,2011-12-14,0.3112484812736511,22,risk_stop,-9.35%,-9.55%
NVDA,AI半導體,沖量,2011-11-11,0.3433359861373901,trend_60d,0.002,2011-11-14,0.3366892635822296,1,close_below_ma25,-1.94%,-2.14%
NVDA,AI半導體,波段,2011-11-14,0.336689293384552,base_60d,0.002,2011-11-16,0.3341679871082306,2,close_below_ma25,-0.75%,-0.95%
NVDA,AI半導體,波段,2011-11-14,0.336689293384552,risk_30d,0.002,2011-12-15,0.30849799513816833,22,risk_stop,-8.37%,-8.57%
NVDA,AI半導體,波段,2011-11-14,0.336689293384552,trend_60d,0.002,2011-11-16,0.3341679871082306,2,close_below_ma25,-0.75%,-0.95%
NVDA,AI半導體,誘多,2011-11-30,0.358233779668808,base_60d,0.002,2011-12-01,0.36258837580680847,1,volume_weak,1.22%,1.02%
NVDA,AI半導體,誘多,2011-11-30,0.358233779668808,risk_30d,0.002,2011-12-13,0.3238542675971985,9,risk_stop,-9.60%,-9.80%
NVDA,AI半導體,誘多,2011-11-30,0.358233779668808,trend_60d,0.002,2011-12-08,0.3366892635822296,6,close_below_ma25,-6.01%,-6.21%
NVDA,AI半導體,誘多,2011-12-27,0.3222499191761017,base_60d,0.002,2011-12-28,0.3142279386520386,1,close_below_ma25,-2.49%,-2.69%
NVDA,AI半導體,誘多,2011-12-27,0.3222499191761017,risk_30d,0.002,2012-02-08,0.373818963766098,29,target_reached,16.00%,15.80%
NVDA,AI半導體,誘多,2011-12-27,0.3222499191761017,trend_60d,0.002,2011-12-28,0.3142279386520386,1,close_below_ma25,-2.49%,-2.69%
NVDA,AI半導體,沖量,2012-01-23,0.3348556160926819,base_60d,0.002,2012-02-01,0.3421899378299713,7,volume_weak,2.19%,1.99%
NVDA,AI半導體,沖量,2012-01-23,0.3348556160926819,risk_30d,0.002,2012-03-06,0.33737680315971375,30,max_30d,0.75%,0.55%
NVDA,AI半導體,沖量,2012-01-23,0.3348556160926819,trend_60d,0.002,2012-02-27,0.3545665144920349,24,close_below_ma25,5.89%,5.69%
NVDA,AI半導體,波段,2012-01-25,0.3403563201427459,base_60d,0.002,2012-02-01,0.3421899378299713,5,volume_weak,0.54%,0.34%
NVDA,AI半導體,波段,2012-01-25,0.3403563201427459,risk_30d,0.002,2012-03-08,0.34058550000190735,30,max_30d,0.07%,-0.13%
NVDA,AI半導體,波段,2012-01-25,0.3403563201427459,trend_60d,0.002,2012-02-27,0.3545665144920349,22,close_below_ma25,4.18%,3.98%
NVDA,AI半導體,誘多,2012-02-01,0.3421899378299713,base_60d,0.002,2012-02-02,0.3550249934196472,1,volume_weak,3.75%,3.55%
NVDA,AI半導體,誘多,2012-02-01,0.3421899378299713,risk_30d,0.002,2012-03-15,0.3341679871082306,30,max_30d,-2.34%,-2.54%
NVDA,AI半導體,誘多,2012-02-01,0.3421899378299713,trend_60d,0.002,2012-02-27,0.3545665144920349,17,close_below_ma25,3.62%,3.42%
NVDA,AI半導體,沖量,2012-02-13,0.3701518774032593,base_60d,0.002,2012-02-24,0.36190080642700195,8,volume_weak,-2.23%,-2.43%
NVDA,AI半導體,沖量,2012-02-13,0.3701518774032593,risk_30d,0.002,2012-03-06,0.33737680315971375,15,risk_stop,-8.85%,-9.05%
NVDA,AI半導體,沖量,2012-02-13,0.3701518774032593,trend_60d,0.002,2012-02-27,0.3545665144920349,9,close_below_ma25,-4.21%,-4.41%
NVDA,AI半導體,波段,2012-02-17,0.3632758855819702,base_60d,0.002,2012-02-24,0.36190080642700195,4,volume_weak,-0.38%,-0.58%
NVDA,AI半導體,波段,2012-02-17,0.3632758855819702,risk_30d,0.002,2012-03-14,0.329354852437973,17,risk_stop,-9.34%,-9.54%
NVDA,AI半導體,波段,2012-02-17,0.3632758855819702,trend_60d,0.002,2012-02-27,0.3545665144920349,5,close_below_ma25,-2.40%,-2.60%
NVDA,AI半導體,波段,2012-03-05,0.3405855894088745,base_60d,0.002,2012-03-06,0.33737680315971375,1,close_below_ma25,-0.94%,-1.14%
NVDA,AI半導體,波段,2012-03-05,0.3405855894088745,risk_30d,0.002,2012-04-17,0.32133305072784424,30,max_30d,-5.65%,-5.85%
NVDA,AI半導體,波段,2012-03-05,0.3405855894088745,trend_60d,0.002,2012-03-06,0.33737680315971375,1,close_below_ma25,-0.94%,-1.14%
NVDA,AI半導體,誘多,2012-03-09,0.339668869972229,base_60d,0.002,2012-03-12,0.33439716696739197,1,close_below_ma25,-1.55%,-1.75%
NVDA,AI半導體,誘多,2012-03-09,0.339668869972229,risk_30d,0.002,2012-04-20,0.3068937063217163,29,risk_stop,-9.65%,-9.85%
NVDA,AI半導體,誘多,2012-03-09,0.339668869972229,trend_60d,0.002,2012-03-12,0.33439716696739197,1,close_below_ma25,-1.55%,-1.75%
NVDA,AI半導體,波段,2012-06-15,0.2816821336746216,base_60d,0.002,2012-06-18,0.28420326113700867,1,volume_weak,0.90%,0.70%
NVDA,AI半導體,波段,2012-06-15,0.2816821336746216,risk_30d,0.002,2012-07-30,0.30551856756210327,30,max_30d,8.46%,8.26%
NVDA,AI半導體,波段,2012-06-15,0.2816821336746216,trend_60d,0.002,2012-07-10,0.29382947087287903,16,close_below_ma25,4.31%,4.11%
NVDA,AI半導體,誘多,2012-07-03,0.3162906765937805,base_60d,0.002,2012-07-05,0.3130820393562317,1,volume_weak,-1.01%,-1.21%
