rule,exit_reason,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
base_60d,close_below_ma25,27,7.41%,-8.19%,-6.56%,1.59,0.00,-19.78%,0.51%
base_60d,max_60d,1,0.00%,-1.89%,-1.89%,0.00,0.00,-1.89%,-1.89%
base_60d,volume_weak,84,63.10%,3.81%,2.62%,3.33,3.42,-12.07%,29.33%
risk_30d,max_30d,1,0.00%,-1.89%,-1.89%,0.00,0.00,-1.89%,-1.89%
risk_30d,risk_stop,55,0.00%,-11.11%,-10.58%,4.95,0.00,-17.87%,-8.27%
risk_30d,target_reached,56,100.00%,22.09%,20.44%,6.12,,14.98%,45.77%
trend_60d,atr_trail,18,72.22%,7.96%,7.19%,14.56,4.84,-20.24%,26.01%
trend_60d,close_below_ma25,93,26.88%,0.40%,-5.26%,9.78,1.07,-19.78%,73.10%
trend_60d,max_60d,1,0.00%,-1.89%,-1.89%,0.00,0.00,-1.89%,-1.89%
