ticker,industry,pattern,signal_date,rule,cost,slippage,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,gross_return,net_return
MU,政策/AI觀察,波段,2024-06-24,base_60d,0.20%,0.20%,2024-06-25,139.35112582286396,2024-06-27,131.28875732421875,2,close_below_ma25,-5.79%,-5.99%
MU,政策/AI觀察,波段,2024-06-24,risk_30d,0.20%,0.20%,2024-06-25,139.35112582286396,2024-07-16,126.69320678710938,14,risk_stop,-9.08%,-9.28%
MU,政策/AI觀察,波段,2024-06-24,trend_60d,0.20%,0.20%,2024-06-25,139.35112582286396,2024-06-27,131.28875732421875,2,close_below_ma25,-5.79%,-5.99%
MU,政策/AI觀察,波段,2024-06-25,base_60d,0.20%,0.20%,2024-06-26,142.30587582809486,2024-06-27,131.28875732421875,1,close_below_ma25,-7.74%,-7.94%
MU,政策/AI觀察,波段,2024-06-25,risk_30d,0.20%,0.20%,2024-06-26,142.30587582809486,2024-06-28,130.59371948242188,2,risk_stop,-8.23%,-8.43%
MU,政策/AI觀察,波段,2024-06-25,trend_60d,0.20%,0.20%,2024-06-26,142.30587582809486,2024-06-27,131.28875732421875,1,close_below_ma25,-7.74%,-7.94%
MU,政策/AI觀察,波段,2024-06-26,base_60d,0.20%,0.20%,2024-06-27,135.0930609674916,2024-06-28,130.59371948242188,1,close_below_ma25,-3.33%,-3.53%
MU,政策/AI觀察,波段,2024-06-26,risk_30d,0.20%,0.20%,2024-06-27,135.0930609674916,2024-07-17,118.75314331054688,13,risk_stop,-12.10%,-12.30%
MU,政策/AI觀察,波段,2024-06-26,trend_60d,0.20%,0.20%,2024-06-27,135.0930609674916,2024-06-28,130.59371948242188,1,close_below_ma25,-3.33%,-3.53%
MU,政策/AI觀察,波段,2024-06-27,base_60d,0.20%,0.20%,2024-06-28,132.1382943587788,2024-07-01,130.58383178710938,1,close_below_ma25,-1.18%,-1.38%
MU,政策/AI觀察,波段,2024-06-27,risk_30d,0.20%,0.20%,2024-06-28,132.1382943587788,2024-07-17,118.75314331054688,12,risk_stop,-10.13%,-10.33%
MU,政策/AI觀察,波段,2024-06-27,trend_60d,0.20%,0.20%,2024-06-28,132.1382943587788,2024-07-01,130.58383178710938,1,close_below_ma25,-1.18%,-1.38%
MU,政策/AI觀察,波段,2024-06-28,base_60d,0.20%,0.20%,2024-07-01,129.83023018263094,2024-07-02,131.6461944580078,1,close_below_ma25,1.40%,1.20%
