ticker,data_symbol,name,engine,scheme,layer,threshold,date,close,reference_high,reference_mode,drawdown,ma25_slope_5d,volume_ok,shrink_ok,price_near_ma25,ret_21d,ret_63d,ret_126d,ret_252d,max_adverse_252d,filter,filter_pass
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2025-04-15,20.88585090637207,28.892730712890625,52w_high,-27.71%,-2.07%,True,False,False,0.20656406215739787,0.4052029729865232,0.6431656368682181,0.9544331651994333,-6.19%,D_ONLY,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2025-04-15,20.88585090637207,28.892730712890625,52w_high,-27.71%,-2.07%,True,False,False,0.20656406215739787,0.4052029729865232,0.6431656368682181,0.9544331651994333,-6.19%,D_MA25,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2025-04-15,20.88585090637207,28.892730712890625,52w_high,-27.71%,-2.07%,True,False,False,0.20656406215739787,0.4052029729865232,0.6431656368682181,0.9544331651994333,-6.19%,D_VOLUME,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2025-04-15,20.88585090637207,28.892730712890625,52w_high,-27.71%,-2.07%,True,False,False,0.20656406215739787,0.4052029729865232,0.6431656368682181,0.9544331651994333,-6.19%,D_2560,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D2,-20.00%,2025-04-15,20.88585090637207,28.892730712890625,52w_high,-27.71%,-2.07%,True,False,False,0.20656406215739787,0.4052029729865232,0.6431656368682181,0.9544331651994333,-6.19%,D_ONLY,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D2,-20.00%,2025-04-15,20.88585090637207,28.892730712890625,52w_high,-27.71%,-2.07%,True,False,False,0.20656406215739787,0.4052029729865232,0.6431656368682181,0.9544331651994333,-6.19%,D_MA25,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D2,-20.00%,2025-04-15,20.88585090637207,28.892730712890625,52w_high,-27.71%,-2.07%,True,False,False,0.20656406215739787,0.4052029729865232,0.6431656368682181,0.9544331651994333,-6.19%,D_VOLUME,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D2,-20.00%,2025-04-15,20.88585090637207,28.892730712890625,52w_high,-27.71%,-2.07%,True,False,False,0.20656406215739787,0.4052029729865232,0.6431656368682181,0.9544331651994333,-6.19%,D_2560,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D3,-30.00%,2025-04-17,20.13259506225586,28.892730712890625,52w_high,-30.32%,-1.93%,False,True,False,0.25073171924036486,0.4699752105060615,0.6992778399583601,1.006199363010619,-2.68%,D_ONLY,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D3,-30.00%,2025-04-17,20.13259506225586,28.892730712890625,52w_high,-30.32%,-1.93%,False,True,False,0.25073171924036486,0.4699752105060615,0.6992778399583601,1.006199363010619,-2.68%,D_MA25,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D3,-30.00%,2025-04-17,20.13259506225586,28.892730712890625,52w_high,-30.32%,-1.93%,False,True,False,0.25073171924036486,0.4699752105060615,0.6992778399583601,1.006199363010619,-2.68%,D_VOLUME,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D3,-30.00%,2025-04-17,20.13259506225586,28.892730712890625,52w_high,-30.32%,-1.93%,False,True,False,0.25073171924036486,0.4699752105060615,0.6992778399583601,1.006199363010619,-2.68%,D_2560,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2025-11-13,33.061668395996094,37.2066535949707,52w_high,-11.14%,-0.07%,False,True,False,-0.008912626149226277,0.044109451595134574,0.37651850404030585,,-5.72%,D_ONLY,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2025-11-13,33.061668395996094,37.2066535949707,52w_high,-11.14%,-0.07%,False,True,False,-0.008912626149226277,0.044109451595134574,0.37651850404030585,,-5.72%,D_MA25,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2025-11-13,33.061668395996094,37.2066535949707,52w_high,-11.14%,-0.07%,False,True,False,-0.008912626149226277,0.044109451595134574,0.37651850404030585,,-5.72%,D_VOLUME,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2025-11-13,33.061668395996094,37.2066535949707,52w_high,-11.14%,-0.07%,False,True,False,-0.008912626149226277,0.044109451595134574,0.37651850404030585,,-5.72%,D_2560,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2026-02-04,32.63999938964844,37.2066535949707,52w_high,-12.27%,0.24%,False,False,False,0.0018382774023593118,0.4136029489106374,,,-4.50%,D_ONLY,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2026-02-04,32.63999938964844,37.2066535949707,52w_high,-12.27%,0.24%,False,False,False,0.0018382774023593118,0.4136029489106374,,,-4.50%,D_MA25,True
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2026-02-04,32.63999938964844,37.2066535949707,52w_high,-12.27%,0.24%,False,False,False,0.0018382774023593118,0.4136029489106374,,,-4.50%,D_VOLUME,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2026-02-04,32.63999938964844,37.2066535949707,52w_high,-12.27%,0.24%,False,False,False,0.0018382774023593118,0.4136029489106374,,,-4.50%,D_2560,False
BAI,BAI,BlackRock AI / AI thematic ETF candidate,主題ETF,ETF_A_10_20_30,D1,-10.00%,2026-03-06,32.70000076293945,37.2066535949707,52w_high,-12.11%,-0.74%,False,True,False,0.0629968657654727,0.39296630502481955,,,-4.68%,D_ONLY,True
