ticker,group,pattern,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,hold_days,return_pct,pnl_usd_100
BTC,加密資產,BUILT_VOLUME,2017-03-13,2017-03-14,1234.624354248047,2017-03-16,1187.81005859375,structure_or_atr_stop,2,-0.03791784561289446,-3.7917845612894463
BTC,加密資產,BUILT_VOLUME,2017-05-31,2017-06-01,2292.90673828125,2017-06-05,2686.81005859375,paper_target_15pct,4,0.17179212470183924,17.179212470183924
BTC,加密資產,BUILT_VOLUME,2017-06-19,2017-06-20,2596.4425297851562,2017-07-14,2233.340087890625,structure_or_atr_stop,24,-0.13984613089994957,-13.984613089994957
BTC,加密資產,BUILT_VOLUME,2017-07-24,2017-07-25,2763.015,2017-08-05,3252.909912109375,paper_target_15pct,11,0.17730447069935384,17.730447069935384
BTC,加密資產,BUILT_VOLUME,2017-09-07,2017-09-08,4614.3704765625,2017-09-08,4228.75,structure_or_atr_stop,0,-0.08356946598049708,-8.356946598049708
BTC,加密資產,BUILT_VOLUME,2017-11-15,2017-11-16,7337.88671484375,2017-11-17,7708.990234375,structure_or_atr_stop,1,0.050573623435824944,5.057362343582494
BTC,加密資產,BUILT_VOLUME,2017-12-26,2017-12-27,16195.827,2017-12-30,12952.2001953125,structure_or_atr_stop,3,-0.20027546630916093,-20.027546630916092
BTC,加密資產,BUILT_VOLUME,2018-11-07,2018-11-08,6535.314559570313,2018-11-09,6385.6201171875,structure_or_atr_stop,1,-0.02290546859195941,-2.290546859195941
BTC,加密資產,BUILT_VOLUME,2019-02-12,2019-02-13,3660.9112119140627,2019-02-19,3947.094482421875,structure_or_atr_stop,6,0.07817268814836531,7.817268814836531
BTC,加密資產,BUILT_VOLUME,2019-03-05,2019-03-06,3904.875216796875,2019-03-08,3901.131591796875,structure_or_atr_stop,2,-0.0009587054110965498,-0.09587054110965498
BTC,加密資產,BUILT_VOLUME,2019-03-09,2019-03-10,3974.1066650390626,2019-04-02,4879.8779296875,paper_target_15pct,23,0.22791820678007246,22.791820678007248
BTC,加密資產,BUILT_VOLUME,2019-04-30,2019-05-01,5361.616379882813,2019-05-09,6174.52880859375,paper_target_15pct,8,0.1516170443974778,15.16170443974778
BTC,加密資產,BUILT_VOLUME,2019-07-06,2019-07-07,11240.051443359374,2019-07-14,10256.05859375,structure_or_atr_stop,7,-0.08754344716017448,-8.754344716017448
BTC,加密資產,BUILT_VOLUME,2019-12-22,2019-12-23,7523.9201484375,2020-01-02,6985.47021484375,structure_or_atr_stop,10,-0.07156507817345326,-7.156507817345325
BTC,加密資產,BUILT_VOLUME,2020-05-16,2020-05-17,9393.679546875,2020-05-24,8790.3681640625,structure_or_atr_stop,7,-0.06422524632673943,-6.422524632673943
BTC,加密資產,BUILT_VOLUME,2020-08-24,2020-08-25,11797.136044921876,2020-08-25,11366.134765625,structure_or_atr_stop,0,-0.03653439933689684,-3.653439933689684
