period,pattern,trades,win_rate,average_return,median_return,profit_factor
2016-2021,BUILT_VOLUME,331,0.3867069486404834,0.0002786137216143235,-0.0154525352930063,1.010819055667855
2016-2021,RUSH_VOLUME,88,0.4318181818181818,0.004854381682484801,-0.01591155814487405,1.198298971677677
2016-2021,VOLUME_PIT,54,0.5185185185185185,0.024999099150837315,0.011019257841638999,2.6661403811746367
2021-2026,BUILT_VOLUME,369,0.39295392953929537,0.004205402154235887,-0.0178824093834267,1.1576710743592697
2021-2026,RUSH_VOLUME,93,0.44086021505376344,0.015204414088475738,-0.0116892275337218,1.6620859219774702
2021-2026,VOLUME_PIT,76,0.4342105263157895,0.0008655901959785314,-0.01696251578468795,1.027048297047892
