target_pct,atr_stop_multiple,max_hold_days,trades,win_rate,average_return,median_return,total_pnl_usd_100,profit_factor
0.25,2.5,30,743,0.4306864064602961,0.006575709539533958,-0.010192470989668467,488.5752187873731,1.2457591109711164
0.2,2.5,30,743,0.43203230148048455,0.0065161242801554595,-0.010165612285888859,484.1480340155506,1.244002461611701
0.2,2.5,60,734,0.4305177111716621,0.0062756516162098585,-0.010179041637778663,460.6328286298036,1.2332264186333441
0.25,2.5,60,734,0.42915531335149865,0.00628240870598094,-0.010433409943452931,461.128799019001,1.2330254651821149
0.2,2.5,45,735,0.4340136054421769,0.006066262117863221,-0.010192470989668467,445.8702656629468,1.224616479431164
0.25,2.5,45,735,0.4326530612244898,0.006061374832254783,-0.010674348897237396,445.51105017072655,1.2240031342532318
0.1,2.5,60,742,0.44339622641509435,0.005790154184378242,-0.008747729077578092,429.6294404808656,1.2163893245694493
0.25,2.5,20,755,0.45165562913907287,0.005457496299391923,-0.006786910191848183,412.04097060409015,1.2121744321698862
0.1,2.5,45,742,0.44609164420485176,0.005640135634371809,-0.008747729077578092,418.49806407038824,1.2109757473625744
0.15,2.5,60,735,0.4326530612244898,0.005638013990231815,-0.009271948971730004,414.3940282820384,1.2091329989005204
0.25,2.0,30,747,0.41767068273092367,0.005522768993868359,-0.012211838458749402,412.5508438419664,1.2072907915981077
0.2,2.0,30,747,0.4190093708165997,0.005492081085812288,-0.012003908612300496,410.2584571101779,1.206536587722268
0.2,2.5,20,755,0.45298013245033114,0.005291330358547309,-0.0067772777898489345,399.4954420703218,1.2061209800193904
0.15,2.5,45,736,0.4361413043478261,0.005414423074927494,-0.009718780628809431,398.50153831466355,1.2001043021714715
0.15,2.5,30,744,0.43413978494623656,0.005346430187309664,-0.009516015384846588,397.77440593583907,1.1998230565990557
0.1,2.5,30,747,0.44176706827309237,0.005222450028676008,-0.009061933709240022,390.1170171420978,1.1959820976563633
0.2,2.0,60,740,0.41621621621621624,0.005071422657610545,-0.012533577750409253,375.2852766631803,1.1884734071234786
0.2,1.5,30,760,0.3960526315789474,0.004835033895754589,-0.016321023353053854,367.4625760773488,1.1878954047114314
