bucket,trades,win_rate,average_return,median_return,total_return
0-5,408,0.18137254901960784,-0.02850719872267435,-0.034265919451486646,-11.630937078851135
6-10,174,0.3103448275862069,-0.005967484235466737,-0.027278313022111103,-1.0383422569712122
11-15,118,0.3983050847457627,0.015807361727808916,-0.00962223681701515,1.8652686838814523
16-20,95,0.6,0.036832358765198546,0.0155112571916098,3.4990740826938618
21-30,216,0.8379629629629629,0.056508719506207894,0.0570588090227609,12.205883413340905
31-45,0,,,,0.0
46-60,0,,,,0.0
60+,0,,,,0.0
