trade_id,status,ticker,industry,pattern,signal_date,entry_date,entry_price,stop_price,target_price,last_date,last_price,exit_date,exit_price,exit_reason,hold_days,return_pct,created_at,updated_at
2560-MU-20260706-縮量黑馬,OPEN,MU,AI半導體,縮量黑馬,2026-07-06 00:00:00,2026-07-07 00:00:00,924.8560297851562,850.8675474023438,1063.5844342529297,2026-07-10,979.2999877929688,,,,3.0,0.0588674953229853,2026-07-07T09:28:58.217702+00:00,2026-07-10T23:31:25.822551+00:00
2560-AAPL-20260708-弱量續攻,OPEN,AAPL,大型科技平台,弱量續攻,2026-07-08 00:00:00,,,,,2026-07-10,315.32000732421875,,,,0.0,,2026-07-08T23:37:51.709574+00:00,2026-07-10T23:31:25.822551+00:00
2560-DELL-20260708-弱量續攻,OPEN,DELL,AI基礎建設,弱量續攻,2026-07-08 00:00:00,,,,,2026-07-10,434.9700012207031,,,,0.0,,2026-07-08T23:37:51.709574+00:00,2026-07-10T23:31:25.822551+00:00
2560-AAPL-20260709-弱量續攻,OPEN,AAPL,大型科技平台,弱量續攻,2026-07-09 00:00:00,2026-07-10,315.34944122314454,290.121485925293,362.6518574066162,2026-07-10,315.32000732421875,,,,,,2026-07-09T23:46:46.198137+00:00,2026-07-10T23:31:25.822551+00:00
2560-DELL-20260709-弱量續攻,OPEN,DELL,AI基礎建設,弱量續攻,2026-07-09 00:00:00,2026-07-10,450.0082053222656,414.00754889648437,517.5094361206054,2026-07-10,434.9700012207031,,,,,,2026-07-09T23:46:46.198137+00:00,2026-07-10T23:31:25.822551+00:00
