trade_id,status,ticker,industry,pattern,signal_date,entry_date,entry_price,stop_price,target_price,last_date,last_price,exit_date,exit_price,exit_reason,hold_days,return_pct,created_at,updated_at,pattern_zh,gate_status,stage_status,risk_status,signal_reason,pullback_low,atr14
2560-MU-20260706-縮量黑馬,CLOSED,MU,AI半導體,縮量黑馬,2026-07-06 00:00:00,2026-07-07 00:00:00,924.8560297851562,850.8675474023438,1063.5844342529297,2026-07-13,937.0,2026-07-13,937.0,legacy_rule_replaced,4.0,0.0131306601500611,2026-07-07T09:28:58.217702+00:00,2026-07-14T23:26:53.158905+00:00,,REJECTED,WATCH,NORMAL,LEGACY_RULE_REPLACED,,
2560-AAPL-20260708-弱量續攻,CLOSED,AAPL,大型科技平台,弱量續攻,2026-07-08 00:00:00,,,,,2026-07-13,317.3099975585937,2026-07-13,317.3099975585937,legacy_rule_replaced,0.0,,2026-07-08T23:37:51.709574+00:00,2026-07-14T23:26:53.158905+00:00,,PASS,WATCH,EXTENDED,LEGACY_RULE_REPLACED,,
2560-DELL-20260708-弱量續攻,CLOSED,DELL,AI基礎建設,弱量續攻,2026-07-08 00:00:00,,,,,2026-07-13,427.1099853515625,2026-07-13,427.1099853515625,legacy_rule_replaced,0.0,,2026-07-08T23:37:51.709574+00:00,2026-07-14T23:26:53.158905+00:00,,PASS,WATCH,NORMAL,LEGACY_RULE_REPLACED,,
2560-AAPL-20260709-弱量續攻,CLOSED,AAPL,大型科技平台,弱量續攻,2026-07-09 00:00:00,2026-07-10,315.34944122314454,290.121485925293,362.6518574066162,2026-07-13,317.3099975585937,2026-07-13,317.3099975585937,legacy_rule_replaced,1.0,0.0062170915155099,2026-07-09T23:46:46.198137+00:00,2026-07-14T23:26:53.158905+00:00,,PASS,WATCH,EXTENDED,LEGACY_RULE_REPLACED,,
2560-DELL-20260709-弱量續攻,CLOSED,DELL,AI基礎建設,弱量續攻,2026-07-09 00:00:00,2026-07-10,450.0082053222656,414.0075488964844,517.5094361206054,2026-07-13,427.1099853515625,2026-07-13,427.1099853515625,legacy_rule_replaced,1.0,-0.050884005446756,2026-07-09T23:46:46.198137+00:00,2026-07-14T23:26:53.158905+00:00,,PASS,WATCH,NORMAL,LEGACY_RULE_REPLACED,,
